meshblock_id,census_year_id,not_further_defined,other_types,separate_houses,total,two_or_more_flats
0012904,1,3,0,51,63,6
0013000,1,9,0,45,60,9
0013100,1,6,0,63,84,12
0013203,1,3,0,54,63,6
0013204,1,3,0,12,21,6
0013205,1,0,0,30,36,0
0013206,1,3,0,36,45,6
0013207,1,3,0,21,24,3
0013300,1,9,0,75,96,9
0013400,1,6,0,42,63,12
0013500,1,0,0,0,6,0
0013600,1,3,0,18,18,3
0013700,1,9,0,27,45,9
0013800,1,0,0,0,0,0
0013900,1,3,0,30,36,3
0014000,1,0,0,0,0,0
0014100,1,6,0,9,15,0
0014200,1,0,0,0,3,0
0014300,1,3,0,33,39,3
0014400,1,9,0,69,84,6
0014500,1,0,0,9,9,0
0014600,1,0,0,0,0,0
0014700,1,3,0,18,24,3
0014800,1,0,0,6,6,0
0014900,1,9,0,42,57,9
0015000,1,0,0,24,27,0
0015100,1,15,0,30,60,12
0015200,1,3,0,21,27,0
0015300,1,6,0,60,78,15
0015401,1,0,0,6,6,0
0015402,1,15,0,48,81,21
0015500,1,9,0,69,90,12
0015600,1,0,0,42,48,9
0015700,1,15,0,24,51,12
0015800,1,0,0,30,33,3
0015900,1,3,0,18,24,0
0016000,1,3,0,18,27,6
0016100,1,0,0,0,3,0
0016200,1,0,0,24,27,0
0016300,1,0,0,42,48,3
0016400,1,3,0,3,9,3
0016500,1,0,0,0,0,0
0016600,1,6,0,24,30,0
0016700,1,0,0,27,30,3
0016800,1,3,0,15,18,3
0016901,1,0,0,0,0,0
0016902,1,0,0,0,0,0
0017001,1,0,0,0,0,0
0017003,1,0,0,0,0,0
0017005,1,0,0,0,0,0
0017006,1,0,0,0,0,0
0017100,1,0,0,0,0,0
0017200,1,0,0,0,0,0
0017301,1,3,0,12,15,3
0017302,1,0,0,12,15,3
0017402,1,6,0,30,42,3
0017403,1,3,0,18,24,3
0017404,1,0,0,0,3,0
0017405,1,0,0,0,6,0
0017406,1,0,0,0,3,0
0017407,1,0,0,0,3,0
0017408,1,3,0,6,9,0
0017409,1,0,0,0,6,0
0017500,1,3,0,33,42,3
0017600,1,3,0,33,36,0
0017700,1,9,0,24,33,0
0017800,1,6,3,24,30,3
0017900,1,0,0,0,6,0
0018000,1,0,0,0,0,0
0018100,1,3,0,27,33,3
0018201,1,9,3,39,51,0
0018202,1,0,0,0,0,0
0018203,1,0,0,0,6,0
0018300,1,0,0,15,15,0
0018400,1,0,0,6,6,0
0018500,1,3,0,12,15,3
0018600,1,0,0,6,9,0
0018700,1,6,3,15,24,3
0018800,1,3,0,24,27,0
0018900,1,15,3,72,90,3
0019000,1,0,0,0,6,0
0019100,1,0,0,15,18,0
0019200,1,3,0,9,15,0
0019300,1,3,0,18,18,0
0019400,1,0,0,48,51,0
0019500,1,0,0,0,0,0
0019600,1,9,0,24,42,3
0019700,1,3,3,30,36,0
0019801,1,6,0,33,42,3
0019802,1,0,0,0,3,0
0019900,1,15,3,60,87,6
0020000,1,6,6,45,54,3
0020100,1,0,0,0,0,0
0020200,1,15,3,48,72,6
0020300,1,3,0,33,36,0
0020401,1,3,0,54,63,0
0020402,1,12,3,36,54,3
0020500,1,0,0,0,0,0
0020600,1,0,0,9,9,0
0020700,1,9,0,15,24,0
0020800,1,0,0,12,15,0
