meshblock_id,census_year_id,married,never,not_elsewhere_included,separated,total,total_stated
12200,1,9,9,12,3,36,24
12300,1,18,12,21,3,54,33
12400,1,21,27,18,12,78,60
12500,1,6,12,9,3,30,21
12601,1,12,9,3,6,30,27
12602,1,3,9,6,3,18,15
12701,1,15,15,9,6,48,36
12702,1,9,15,27,9,60,36
12800,1,0,0,0,0,0,0
12902,1,15,12,6,3,42,33
12903,1,36,27,18,24,102,84
12904,1,48,42,36,27,147,111
13000,1,48,54,21,15,138,120
13100,1,72,39,30,36,171,147
13203,1,39,69,24,27,159,135
13204,1,18,9,0,12,39,42
13205,1,33,30,6,12,81,75
13206,1,18,42,21,18,99,75
13207,1,24,18,15,9,66,51
13300,1,87,51,30,36,210,177
13400,1,60,21,15,21,117,102
13500,1,3,3,0,3,12,12
13600,1,18,9,6,9,42,39
13700,1,21,21,12,18,75,63
13800,1,0,0,0,0,0,0
13900,1,24,27,18,15,84,66
14000,1,0,0,0,0,6,0
14100,1,6,6,0,6,24,21
14200,1,0,6,3,0,9,6
14300,1,36,18,9,15,78,69
14400,1,72,51,21,33,174,153
14500,1,9,3,0,3,12,15
14600,1,0,0,0,0,0,0
14700,1,18,9,9,9,45,36
14800,1,3,3,9,3,18,12
14900,1,48,39,3,24,117,114
15000,1,30,6,6,9,54,48
15100,1,30,21,6,36,90,87
15200,1,24,12,15,6,57,42
15300,1,69,42,24,24,162,135
15401,1,6,3,0,0,12,9
15402,1,75,48,12,78,210,198
15500,1,54,78,39,39,210,171
15600,1,27,57,15,21,117,105
15700,1,24,24,3,33,87,84
15800,1,27,33,6,9,72,66
15900,1,24,15,3,9,48,45
16000,1,21,6,6,18,48,42
16100,1,0,0,0,0,3,0
16200,1,21,18,15,12,63,51
16300,1,33,27,15,21,96,81
16400,1,0,3,3,6,9,9
16500,1,0,0,0,0,6,6
16600,1,21,15,21,9,69,48
16700,1,6,15,12,15,51,36
16800,1,9,12,6,6,33,30
16901,1,0,0,0,0,0,0
16902,1,0,0,0,0,3,0
17001,1,0,0,0,0,0,0
17003,1,0,0,0,0,0,0
17005,1,0,0,0,0,0,0
17006,1,0,0,0,0,3,0
17100,1,0,0,0,0,0,0
17200,1,0,0,0,0,0,0
17301,1,12,12,9,0,33,24
17302,1,18,12,0,6,33,33
17402,1,27,27,15,15,84,69
17403,1,15,6,24,9,51,27
17404,1,6,0,0,0,6,6
17405,1,0,0,0,0,0,0
17406,1,0,0,0,0,3,0
17407,1,0,0,0,0,3,0
17408,1,9,0,3,6,15,15
17409,1,6,0,0,0,9,6
17500,1,36,21,15,15,87,75
17600,1,33,18,12,12,75,63
17700,1,18,27,3,15,66,63
17800,1,27,12,24,6,72,42
17900,1,3,3,3,3,12,9
18000,1,0,0,0,0,6,6
18100,1,24,18,24,9,78,51
18201,1,27,36,18,9,87,72
18202,1,0,0,6,0,6,0
18203,1,3,3,0,3,9,9
18300,1,9,18,3,3,33,30
18400,1,6,3,0,3,12,12
18500,1,12,3,3,6,27,24
18600,1,6,9,0,0,18,15
18700,1,6,21,6,18,48,45
18800,1,27,18,9,18,75,66
18900,1,60,54,15,39,174,156
19000,1,3,6,0,0,9,9
19100,1,21,12,0,6,39,39
19200,1,15,6,0,6,27,24
19300,1,24,6,3,3,36,33
19400,1,42,36,15,15,108,93
19500,1,0,0,0,0,0,0
19600,1,33,24,21,18,99,78
19700,1,24,12,12,21,69,57
19801,1,24,24,33,12,93,63
19802,1,0,0,0,0,6,0
19900,1,66,24,9,45,144,132
20000,1,33,15,21,21,90,69
20100,1,0,0,0,0,0,0
20200,1,72,39,21,15,147,126
20300,1,18,15,12,18,66,54
20401,1,66,21,33,12,135,102
20402,1,42,36,18,21,117,99
20500,1,0,0,0,0,6,0
20600,1,12,6,0,3,21,21
20700,1,12,9,21,9,51,27
20800,1,12,9,6,6,36,27
20900,1,18,3,3,3,24,24
21000,1,6,3,24,6,36,15
21100,1,3,3,6,0,12,6
21200,1,3,3,9,0,15,6
21300,1,9,3,9,3,30,18
21400,1,15,6,12,3,33,21
21500,1,0,0,0,0,6,0
21600,1,0,0,0,0,0,0
21700,1,0,0,0,0,0,0
21800,1,0,0,0,0,0,0
21900,1,12,3,9,3,30,21
22000,1,30,45,18,18,105,90
22100,1,12,9,0,6,30,27
22200,1,6,6,0,0,15,15
22300,1,21,15,12,9,54,42
22400,1,15,6,3,3,27,24
22500,1,42,42,30,21,129,99
22600,1,3,6,6,6,21,15
22700,1,9,6,9,3,27,21
22800,1,18,18,27,9,75,48
22900,1,6,3,6,3,21,15
23000,1,6,9,12,9,33,24
23100,1,30,39,18,21,108,93
23200,1,9,6,0,6,18,18
23300,1,24,12,9,12,60,51
23400,1,24,18,9,12,63,51
23500,1,0,0,0,0,0,0
23600,1,24,18,6,18,66,63
23700,1,27,18,12,12,69,57
23800,1,21,33,24,21,96,72
23900,1,12,12,3,9,39,36
24000,1,27,12,9,21,75,63
24100,1,6,3,0,3,15,15
24201,1,0,0,0,0,3,0
24202,1,0,0,0,0,0,0
24300,1,24,12,27,6,66,45
24400,1,30,27,51,15,129,75
24500,1,12,6,27,3,45,18
24600,1,12,12,18,6,51,30
24700,1,3,9,30,0,42,12
24800,1,0,0,0,0,0,0
24900,1,9,9,0,9,24,27
25000,1,12,6,0,6,21,21
25100,1,27,21,0,9,60,60
25200,1,18,15,6,15,54,51
25300,1,18,21,6,18,66,57
25400,1,15,6,3,6,30,30
25500,1,18,15,6,6,42,36
25600,1,12,9,3,9,36,33
25700,1,9,12,0,9,24,27
25800,1,21,21,9,18,66,60
25900,1,9,6,6,0,21,15
26001,1,12,6,3,6,30,27
26002,1,24,12,54,27,120,66
26100,1,0,0,0,0,0,0
26201,1,12,6,9,6,30,21
26202,1,60,45,60,45,207,147
26301,1,0,0,0,0,0,0
26302,1,6,12,9,3,33,21
26303,1,18,18,3,9,51,48
26304,1,0,0,0,0,0,0
26305,1,0,0,0,0,6,0
26400,1,6,15,6,9,36,30
26500,1,15,18,6,6,48,36
26600,1,15,3,15,3,33,21
26700,1,6,0,3,6,18,15
26800,1,24,15,12,3,54,42
26900,1,15,15,9,9,51,42
27000,1,0,0,0,0,6,0
27100,1,6,6,9,3,21,15
27200,1,0,0,0,0,0,0
27300,1,3,12,3,15,30,27
27400,1,18,12,3,6,39,36
27500,1,15,6,9,9,39,27
27600,1,3,12,3,6,24,21
27700,1,6,0,0,6,12,15
27800,1,6,15,12,3,36,24
27900,1,0,3,3,3,9,6
28000,1,3,6,0,3,18,15
28100,1,15,6,12,3,36,24
28201,1,0,0,0,0,3,0
28202,1,3,3,3,3,12,12
28300,1,39,12,24,6,81,57
28400,1,0,0,0,0,0,0
28500,1,9,6,9,3,30,21
28600,1,9,6,0,6,24,24
28700,1,12,6,3,6,30,27
28800,1,6,0,0,0,6,9
28900,1,12,15,9,9,39,33
29000,1,9,6,0,3,18,18
29101,1,0,0,0,0,0,0
29102,1,0,0,0,0,0,0
29200,1,6,3,3,3,15,12
29301,1,0,0,0,0,0,0
29302,1,6,3,3,6,18,18
29400,1,21,21,6,12,63,54
29500,1,12,21,3,9,48,42
29600,1,6,6,3,9,21,15
29700,1,15,9,9,6,39,30
29800,1,18,21,15,12,66,48
29900,1,3,3,6,3,12,6
30000,1,18,15,0,6,39,36
30100,1,6,9,0,3,21,18
30200,1,6,9,6,3,24,18
30300,1,6,6,3,3,18,15
30400,1,6,21,6,9,45,36
30500,1,15,9,6,3,33,27
30600,1,15,9,6,6,39,33
30700,1,30,12,12,9,66,54
30800,1,9,6,3,6,30,24
30900,1,6,3,6,9,21,15
31000,1,6,12,0,3,21,21
31100,1,6,6,0,3,18,15
31200,1,18,18,6,6,54,45
31300,1,0,0,0,0,3,0
31400,1,9,6,3,9,27,24
31500,1,27,27,6,27,87,81
31600,1,3,6,3,6,15,15
31700,1,9,3,0,6,21,21
31800,1,21,18,6,6,54,48
31900,1,15,18,3,9,48,42
32000,1,0,0,0,0,3,0
32100,1,21,15,12,6,57,45
32200,1,9,3,0,3,12,12
32300,1,51,18,9,15,90,84
32400,1,6,6,0,6,15,18
32501,1,36,6,3,6,51,48
32502,1,0,0,0,0,0,0
32600,1,30,18,12,21,81,69
32700,1,12,9,3,3,27,24
32800,1,12,3,0,0,12,15
32900,1,9,6,3,3,21,18
33000,1,21,15,6,0,48,39
33100,1,36,24,12,15,87,75
33200,1,15,3,6,0,24,18
33300,1,3,3,3,0,12,9
33400,1,27,6,3,3,39,36
33500,1,6,9,0,0,15,15
33600,1,57,15,6,12,90,84
33700,1,57,30,15,12,114,99
33800,1,63,21,6,9,102,96
33900,1,36,15,3,6,60,57
34000,1,12,9,0,3,24,24
34101,1,60,18,12,15,105,96
34102,1,9,3,0,3,12,12
34201,1,33,9,6,3,48,45
34202,1,36,21,6,6,72,66
34301,1,18,3,3,0,24,21
34302,1,0,0,0,0,0,0
34400,1,30,9,3,3,48,42
34500,1,21,6,0,3,33,33
