meshblock_id,census_year_id,full_and_part_time,full_time,not_stated,not_studying,part_time,total,total_stated
2939401,2,0,9,6,21,6,39,33
2939402,2,0,9,3,36,3,48,48
2939501,2,0,24,9,159,15,204,195
2939502,2,0,21,3,117,9,150,150
2939600,2,0,12,6,75,9,96,93
2939700,2,0,12,6,75,6,96,93
2939800,2,0,12,9,45,6,72,63
2939900,2,0,3,0,24,3,30,27
2940001,2,0,12,18,84,9,123,105
2940002,2,0,3,0,15,0,21,18
2940101,2,0,12,15,93,12,132,120
2940102,2,0,12,3,120,6,141,138
2940201,2,0,6,3,30,3,42,39
2940202,2,0,3,3,48,3,57,57
2940301,2,0,18,12,111,3,147,135
2940302,2,0,15,3,51,6,75,72
2940400,2,0,9,3,66,3,78,72
2940500,2,0,9,9,63,0,81,72
2940601,2,0,3,3,39,3,48,45
2940602,2,0,6,3,33,0,39,36
2940603,2,0,12,3,51,6,72,69
2940604,2,0,3,0,9,0,12,12
2940700,2,0,3,3,30,3,39,39
2940800,2,0,6,0,36,3,45,45
2940900,2,0,0,0,18,3,24,24
2941001,2,0,9,9,81,9,105,99
2941002,2,0,0,0,0,0,3,0
2941100,2,0,9,3,96,6,117,114
2941200,2,0,9,0,18,0,30,33
2941300,2,0,12,9,78,9,111,99
2941400,2,0,18,6,99,3,129,120
2941500,2,0,0,0,0,0,0,0
2941600,2,0,0,0,18,3,21,21
2941701,2,0,6,3,69,6,84,81
2941702,2,0,0,0,9,0,9,12
2941800,2,0,6,9,84,3,105,96
2941900,2,0,9,3,51,3,63,60
2942000,2,0,6,6,54,9,72,69
2942100,2,0,9,6,72,3,90,84
2942201,2,0,0,0,0,0,6,0
2942202,2,0,6,3,18,6,30,30
2942301,2,0,0,6,36,3,45,39
2942302,2,0,3,3,30,3,39,36
2942400,2,0,3,3,48,3,51,48
2942500,2,0,18,3,147,12,177,177
2942600,2,0,3,6,96,9,114,108
2942700,2,0,21,9,111,6,144,135
2942801,2,0,0,0,6,0,9,9
2942802,2,0,3,6,18,0,27,21
2942900,2,0,6,9,78,6,99,90
2943000,2,0,3,6,42,6,57,51
2943101,2,0,9,6,81,9,99,96
2943102,2,0,3,0,30,0,33,36
2943201,2,0,0,3,9,0,12,9
2943202,2,0,9,6,48,3,63,57
2943300,2,0,0,3,27,0,27,27
2943400,2,0,0,0,18,3,21,21
2943500,2,0,3,0,30,6,39,39
2943600,2,0,0,0,9,0,9,9
2943700,2,0,6,6,63,3,81,75
2943800,2,0,3,6,45,3,57,51
2943900,2,0,3,3,39,3,48,45
2944000,2,0,3,6,57,6,69,66
2944100,2,0,0,6,48,6,60,54
2944200,2,0,6,6,63,6,84,75
2944300,2,0,0,3,30,3,36,36
2944400,2,0,0,0,0,0,0,0
2944500,2,0,6,12,60,3,81,69
2944600,2,0,3,6,54,6,72,63
2944700,2,0,0,0,0,0,3,0
2944800,2,0,6,9,90,3,108,102
2944900,2,0,9,9,84,9,108,102
2945000,2,0,0,0,0,0,3,0
2945100,2,0,3,0,18,0,21,21
2945200,2,0,3,3,12,0,15,12
2945300,2,0,0,0,0,0,0,0
2945400,2,0,3,3,54,3,63,60
2945500,2,0,0,3,27,0,30,24
2945600,2,0,6,3,36,3,45,42
2945700,2,0,9,6,57,0,72,66
2945800,2,0,6,0,63,6,75,75
2945900,2,0,9,0,45,3,54,54
2946000,2,0,18,9,105,9,138,129
2946100,2,0,3,18,90,0,114,96
2946200,2,0,6,12,33,0,45,36
2946300,2,0,3,0,18,0,21,21
2946400,2,0,3,6,36,3,45,42
2946500,2,0,12,3,75,9,102,96
2946600,2,0,21,3,78,3,102,102
2946700,2,0,15,6,66,9,93,87
2946800,2,3,9,15,81,3,111,96
2946900,2,0,15,6,69,9,99,90
2947000,2,0,18,3,84,6,114,111
2947100,2,0,12,6,69,6,96,90
2947200,2,0,9,6,63,6,84,75
2947300,2,0,12,9,78,3,99,90
2947400,2,0,6,6,36,0,51,42
2947500,2,0,6,6,30,3,45,39
2947600,2,0,6,3,30,0,42,36
2947700,2,0,12,12,87,6,114,102
2947800,2,0,0,6,48,0,57,51
2947900,2,0,9,6,48,3,66,63
2948000,2,0,6,3,39,3,48,48
2948100,2,0,3,3,30,6,42,39
2948200,2,0,6,3,96,3,111,108
2948300,2,0,9,12,54,3,81,69
2948400,2,0,6,3,18,0,24,24
2948500,2,0,3,3,21,0,24,24
2948600,2,0,0,3,24,0,30,27
2948700,2,0,6,6,18,3,27,24
2948800,2,0,0,6,18,3,30,24
2948900,2,0,9,6,66,6,84,81
2949000,2,0,9,3,45,3,57,57
2949100,2,0,3,3,42,0,51,48
2949200,2,0,3,6,30,3,39,36
2949300,2,0,3,9,33,3,48,39
2949400,2,0,12,18,72,6,105,87
2949500,2,0,3,0,15,6,30,27
2949600,2,0,9,3,60,0,72,69
2949700,2,0,6,6,36,3,45,42
2949800,2,0,12,12,93,3,117,108
2949900,2,0,3,6,78,3,90,84
2950000,2,0,6,12,78,0,96,87
2950100,2,0,3,6,72,6,87,81
2950200,2,0,12,6,63,6,81,78
2950300,2,0,15,9,84,3,111,102
2950400,2,0,6,6,60,0,69,66
2950500,2,0,6,39,45,3,93,51
2950600,2,0,9,24,60,3,93,69
2950700,2,0,9,6,69,6,90,81
2950800,2,0,21,6,54,3,84,78
2950900,2,0,3,6,81,3,93,84
