meshblock_id,census_year_id,household,looking_after_child_not_own_household,looking_after_child_own_household,looking_after_not_own_household_member_who_is_ill_or_disable,looking_after_own_household_member_who_is_ill_or_disabled,none,not_elsewhere_included,total,total_stated,voluntary
1237800,2,45,9,21,3,12,0,0,45,45,9
1237900,2,57,9,24,3,6,6,3,69,69,12
1238000,2,51,6,30,6,3,3,6,63,57,12
1238100,2,72,12,27,3,9,9,6,84,78,18
1238200,2,45,15,24,3,6,9,9,60,51,9
1238300,2,27,6,12,6,6,0,6,30,27,3
1238400,2,30,6,12,3,0,0,3,30,30,3
1238500,2,60,12,27,9,6,6,3,69,66,9
1238600,2,66,18,27,9,9,6,9,87,78,6
1238700,2,48,9,21,3,3,6,6,60,54,9
1238800,2,51,15,30,3,9,6,9,69,60,9
1238900,2,30,9,15,6,9,3,9,45,36,12
1239000,2,48,15,27,12,9,6,21,81,63,12
1239100,2,63,12,15,6,6,24,9,99,87,9
1239200,2,75,15,39,9,18,9,6,96,90,21
1239300,2,30,6,6,3,3,15,18,66,45,9
1239401,2,24,3,9,3,3,0,6,36,30,3
1239402,2,24,3,3,0,3,6,9,42,30,0
1239403,2,36,12,18,9,3,6,6,51,45,3
1239500,2,84,24,42,15,15,15,24,126,102,24
1239600,2,45,15,21,6,12,6,9,60,51,9
1239700,2,42,15,15,3,3,6,15,66,51,3
1239800,2,75,18,42,12,12,9,15,102,84,12
1239900,2,30,6,9,3,3,3,6,45,36,3
1240000,2,51,12,27,9,9,6,3,63,60,6
1240100,2,60,15,18,18,9,15,18,99,78,12
1240201,2,21,6,12,3,6,0,3,27,24,3
1240202,2,39,9,15,6,6,6,9,57,48,6
1240203,2,39,3,18,6,6,3,3,48,42,9
1240300,2,57,9,30,6,6,0,6,69,63,15
1240400,2,96,18,42,12,6,3,3,108,105,12
1240500,2,93,18,33,9,9,9,6,108,102,21
1240600,2,45,9,18,3,6,3,0,48,51,6
1240700,2,63,15,18,6,9,9,6,78,72,12
1240800,2,51,9,15,3,6,3,0,57,57,9
1240900,2,57,6,9,6,3,36,6,99,96,15
1241000,2,60,9,21,3,6,6,3,75,72,15
1241100,2,87,18,21,12,9,15,15,123,111,15
1241200,2,51,9,9,6,6,12,18,84,66,12
1241300,2,57,18,18,12,3,6,15,84,66,15
1241400,2,51,3,9,6,3,12,6,72,63,6
1241500,2,75,9,15,9,12,15,9,99,93,12
1241600,2,45,12,9,9,9,3,6,57,51,6
1241700,2,84,12,18,9,6,12,12,114,99,21
1241800,2,45,6,12,12,6,12,9,72,60,12
1241900,2,66,12,15,9,6,9,12,90,78,9
1242000,2,39,3,9,9,3,6,15,60,45,9
1242100,2,72,9,18,15,6,9,3,87,84,24
1242200,2,33,3,3,6,3,3,3,39,39,6
1242300,2,69,12,15,9,3,3,15,87,75,21
1242400,2,48,6,12,6,3,0,9,57,48,9
1242500,2,84,15,24,6,6,12,9,108,102,6
1242600,2,69,12,15,6,12,6,21,102,78,15
1242700,2,60,9,24,3,3,6,9,75,66,6
1242800,2,111,18,27,12,12,9,9,132,123,27
1242900,2,45,6,9,3,6,3,9,57,51,6
1243000,2,111,12,21,9,9,15,9,141,129,27
1243100,2,24,3,9,3,6,3,12,42,30,9
1243200,2,90,18,21,18,15,18,12,123,108,27
1243300,2,72,6,18,6,6,15,27,117,93,3
1243401,2,87,9,24,12,9,57,15,162,147,12
1243402,2,75,12,21,15,3,18,21,120,99,15
1243500,2,15,0,0,0,3,24,6,48,42,3
1243601,2,0,0,0,0,0,0,0,6,0,0
1243602,2,30,6,3,0,0,3,9,45,33,6
1243603,2,39,9,15,3,3,3,12,54,45,6
1243604,2,24,0,3,3,3,3,3,33,27,3
1243700,2,126,27,30,12,12,18,18,165,144,27
1243800,2,48,15,27,9,6,0,27,75,51,15
1243900,2,51,15,21,3,9,3,6,63,57,6
1244000,2,93,21,36,9,9,18,12,123,111,15
1244100,2,30,9,12,6,3,3,3,39,39,3
1244200,2,69,12,33,9,9,12,6,87,84,12
1244300,2,63,18,12,12,0,6,9,84,75,18
1244400,2,87,24,42,9,9,6,3,99,96,18
1244500,2,60,9,18,3,3,9,9,81,69,18
1244600,2,90,21,45,15,21,6,9,105,96,18
1244700,2,93,15,24,12,9,153,54,303,249,21
1244800,2,75,12,33,9,6,3,9,87,78,15
1244900,2,159,27,54,12,15,18,9,186,177,39
1245001,2,111,21,24,9,6,9,9,132,123,24
1245002,2,96,12,36,15,6,9,15,120,105,18
1245003,2,81,18,27,9,6,3,9,93,84,12
1245101,2,153,24,51,15,6,18,12,186,174,30
1245102,2,45,6,15,12,6,3,6,54,51,9
1245200,2,183,27,66,18,15,15,9,213,204,39
1245300,2,108,15,33,15,9,6,9,126,117,24
1245400,2,96,18,51,12,6,15,9,117,111,30
1245500,2,81,12,33,6,6,9,6,102,93,15
1245600,2,129,18,51,12,3,9,6,150,141,24
1245701,2,72,18,27,12,12,6,12,90,81,12
1245702,2,78,24,39,9,9,9,6,99,96,3
1245801,2,39,9,21,3,0,3,3,45,42,6
1245802,2,117,18,63,12,12,12,6,141,135,30
1245901,2,111,18,45,6,6,9,6,132,123,18
1245902,2,150,36,54,24,6,15,9,171,162,39
1246000,2,0,0,0,0,0,0,0,3,0,0
1246100,2,15,9,9,0,3,3,3,24,18,6
1246200,2,33,6,18,3,3,3,45,81,36,9
1246300,2,36,15,21,6,9,9,12,57,48,18
1246400,2,24,9,9,3,3,3,12,36,24,6
1246500,2,33,18,15,9,12,6,9,51,42,18
1246600,2,27,9,9,3,3,6,3,36,33,6
1246700,2,120,24,39,9,12,21,18,168,150,27
1246801,2,96,15,45,6,6,6,6,108,102,15
1246802,2,111,24,42,6,12,12,9,138,129,18
1246900,2,33,3,3,3,0,3,6,45,39,12
1247000,2,9,0,9,3,0,3,6,18,12,3
1247100,2,48,12,24,3,6,6,12,69,57,9
1247200,2,39,12,9,3,3,0,0,42,39,9
1247300,2,66,15,18,12,12,3,6,81,75,21
1247400,2,90,27,27,12,12,12,12,114,102,21
1247500,2,60,18,30,12,3,12,6,81,78,15
1247600,2,27,6,6,3,3,3,9,39,30,6
1247700,2,81,21,30,9,12,9,12,111,99,18
1247800,2,27,6,9,3,0,3,3,33,30,3
1247901,2,117,27,48,15,12,18,12,150,141,21
1247902,2,9,0,0,0,0,0,0,15,12,0
1248000,2,171,36,54,18,24,12,12,201,192,27
1248100,2,30,9,18,3,6,3,0,39,36,12
1248200,2,48,12,21,9,6,9,15,72,57,12
1248300,2,48,6,15,6,9,9,6,66,60,9
1248400,2,0,0,0,0,0,0,0,3,0,0
1248500,2,69,18,39,9,12,9,24,108,84,9
1248600,2,54,12,12,9,6,6,3,63,60,15
1248700,2,33,6,9,6,3,9,9,48,42,6
1248800,2,39,15,21,3,6,6,9,57,51,9
