meshblock_id,census_year_id,ex,never,not_elsewhere_included,regular,total,total_stated
12200,2,0,15,6,9,30,24
12300,2,3,6,0,6,18,15
12400,2,21,30,6,21,81,75
12500,2,9,15,12,15,48,36
12601,2,6,9,0,9,24,24
12602,2,3,3,3,6,12,12
12701,2,6,18,6,15,45,39
12702,2,9,15,9,24,57,48
12800,2,9,12,3,6,24,24
12902,2,6,18,3,12,39,33
12903,2,12,42,12,24,87,75
12904,2,33,48,12,63,156,144
13000,2,15,33,21,48,114,96
13100,2,42,57,18,45,165,147
13203,2,18,39,33,75,168,135
13204,2,6,21,3,9,42,39
13205,2,12,36,6,27,78,72
13206,2,9,24,24,48,105,81
13207,2,9,18,9,21,57,48
13300,2,45,72,21,66,201,180
13400,2,24,54,12,27,117,102
13500,2,3,3,0,3,9,9
13600,2,6,15,6,6,39,33
13700,2,15,36,6,21,75,69
13800,2,0,0,0,0,0,0
13900,2,21,21,3,27,72,66
14000,2,0,0,0,0,6,0
14100,2,9,3,0,6,21,21
14200,2,3,3,0,9,15,15
14300,2,15,33,9,15,72,63
14400,2,36,96,27,33,192,162
14500,2,3,3,3,3,9,9
14600,2,0,0,0,0,3,0
14700,2,15,18,9,6,48,36
14800,2,3,6,3,0,12,12
14900,2,36,63,9,21,129,123
15000,2,15,24,0,12,54,51
15100,2,21,42,15,15,93,78
15200,2,12,15,6,21,54,48
15300,2,27,81,12,36,153,141
15401,2,3,6,3,6,15,15
15402,2,51,120,24,42,237,216
15500,2,24,45,33,108,210,177
15600,2,15,27,21,60,123,105
15700,2,18,30,12,12,69,57
15800,2,12,21,12,27,72,60
15900,2,9,21,3,18,51,48
16000,2,9,21,6,6,42,36
16100,2,0,0,0,0,6,0
16200,2,15,21,12,18,66,51
16300,2,24,39,9,24,96,87
16400,2,6,3,3,0,12,12
16500,2,0,0,0,0,3,0
16600,2,9,30,3,27,66,63
16700,2,9,24,12,27,75,60
16800,2,9,12,6,9,36,30
16901,2,0,0,0,0,0,0
16902,2,0,0,6,0,6,0
17001,2,0,0,0,0,0,0
17003,2,0,0,0,0,0,0
17005,2,0,0,0,0,0,0
17006,2,0,0,0,0,3,0
17100,2,0,0,0,0,0,0
17200,2,0,0,0,0,0,0
17301,2,3,6,9,9,27,21
17302,2,6,18,0,9,36,36
17402,2,18,36,15,21,87,72
17403,2,9,18,24,3,48,24
17404,2,0,0,0,0,3,0
17405,2,0,0,0,0,3,0
17406,2,0,0,0,0,0,0
17407,2,0,0,0,0,9,9
17408,2,0,0,0,0,9,9
17409,2,0,0,0,0,6,0
17500,2,15,30,6,27,78,69
17600,2,12,30,6,18,66,60
17700,2,15,15,6,15,51,45
17800,2,15,24,18,15,75,54
17900,2,9,6,3,3,24,21
18000,2,0,0,0,0,6,0
18100,2,21,18,24,12,78,51
18201,2,18,21,24,30,96,72
18202,2,0,0,0,0,3,0
18203,2,3,0,3,3,9,6
18300,2,9,15,3,9,36,33
18400,2,3,6,3,3,12,9
18500,2,6,3,9,3,24,15
18600,2,9,9,6,6,33,27
18700,2,6,21,9,12,48,42
18800,2,12,30,15,21,78,63
18900,2,30,57,36,63,189,153
19000,2,3,3,0,0,9,9
19100,2,9,24,0,6,42,42
19200,2,6,12,6,6,30,27
19300,2,15,21,3,6,45,42
19400,2,27,48,12,18,108,93
19500,2,0,0,0,0,0,0
19600,2,18,24,6,21,69,63
19700,2,9,27,6,18,63,57
19801,2,12,27,24,12,75,51
19802,2,0,0,0,0,9,6
19900,2,39,60,18,36,153,138
20000,2,21,18,12,24,78,66
20100,2,0,0,0,0,3,0
20200,2,33,51,54,24,162,111
20300,2,21,36,6,27,90,84
20401,2,27,66,27,36,156,129
20402,2,15,15,15,39,87,72
20500,2,6,6,0,3,15,15
20600,2,3,9,3,3,12,12
20700,2,3,21,15,24,66,51
20800,2,3,18,3,9,33,30
20900,2,12,12,12,12,45,39
21000,2,0,6,0,21,27,30
21100,2,6,12,3,6,24,24
21200,2,0,3,3,3,9,6
21300,2,3,9,6,0,21,15
21400,2,3,12,6,9,30,27
21500,2,0,9,3,3,18,18
21600,2,0,0,0,0,0,0
21700,2,0,0,0,0,0,0
21800,2,0,0,0,0,0,0
21900,2,6,12,6,12,36,27
22000,2,12,21,12,33,78,66
22100,2,6,9,6,15,30,27
22200,2,3,9,0,3,21,18
22300,2,6,15,9,21,51,45
22400,2,6,6,3,3,21,18
22500,2,21,45,3,30,96,93
22600,2,3,12,0,6,21,21
22700,2,3,9,15,9,36,21
22800,2,9,15,3,12,36,36
22900,2,6,3,3,12,18,21
