meshblock_id,census_year_id,housing_new_zealand,local_authority_or_city_council,not_elsewhere_included,private_person_trust_or_business,stated_owned,total,total_stated
10300,1,0,0,0,0,0,0,0
10400,1,0,0,0,0,0,3,0
10500,1,0,0,0,0,0,0,0
10600,1,0,0,0,6,0,6,6
10700,1,0,0,3,33,0,36,33
10800,1,0,0,0,0,0,3,0
10900,1,0,0,0,0,0,3,0
11000,1,0,0,0,0,0,3,0
11100,1,0,0,0,0,0,0,0
11200,1,0,0,0,0,0,0,0
11300,1,0,0,0,0,0,6,0
11400,1,0,0,0,0,0,0,0
11500,1,0,0,0,0,0,0,0
11600,1,0,0,0,0,0,0,0
11700,1,0,0,0,0,0,3,0
11800,1,0,0,0,0,0,3,0
11900,1,0,0,0,0,0,6,6
12000,1,0,0,0,0,0,3,0
12101,1,0,0,0,0,0,0,0
12102,1,0,0,0,0,0,0,0
12103,1,0,0,0,0,0,0,0
12200,1,0,0,0,0,0,3,0
12300,1,0,0,0,0,0,3,0
12400,1,0,0,0,6,0,9,9
12500,1,0,0,0,0,0,3,0
12601,1,0,0,0,0,0,0,0
12602,1,0,0,0,0,0,0,0
12701,1,0,0,0,0,0,3,0
12702,1,0,0,0,0,0,6,6
12800,1,0,0,0,0,0,0,0
12902,1,0,0,0,0,0,6,9
12903,1,3,0,3,9,0,12,12
12904,1,12,0,0,6,0,21,21
13000,1,3,0,0,15,0,21,21
13100,1,6,0,3,18,3,27,27
13203,1,12,0,0,18,0,30,30
13204,1,0,0,0,0,0,0,0
13205,1,0,0,0,0,0,9,9
13206,1,9,0,0,9,0,18,18
13207,1,6,3,0,3,0,12,12
13300,1,12,0,0,15,6,33,33
13400,1,0,0,0,15,0,15,15
13500,1,0,0,0,0,0,3,0
13600,1,0,0,0,0,0,3,0
13700,1,3,0,3,6,3,12,12
13800,1,0,0,0,0,0,0,0
13900,1,0,0,0,6,0,6,6
14000,1,0,0,0,0,0,0,0
14100,1,0,0,0,0,0,6,0
14200,1,0,0,0,0,0,3,0
14300,1,0,0,0,6,0,6,9
14400,1,3,0,0,9,0,15,12
14500,1,0,0,0,0,0,3,0
14600,1,0,0,0,0,0,0,0
14700,1,0,0,0,9,0,9,9
14800,1,0,0,0,0,0,3,0
14900,1,0,0,0,12,0,15,15
15000,1,0,0,0,0,0,0,0
15100,1,0,18,0,9,0,30,30
15200,1,0,0,0,0,0,9,6
15300,1,6,0,3,9,9,24,24
15401,1,0,0,0,0,0,3,0
15402,1,3,0,0,18,0,21,21
15500,1,21,0,3,24,0,48,45
15600,1,6,0,0,12,0,21,18
15700,1,0,18,0,9,0,30,30
15800,1,6,0,3,9,0,15,18
15900,1,0,0,0,0,0,9,6
16000,1,3,0,0,9,0,12,12
16100,1,0,0,0,0,0,3,0
16200,1,0,0,0,0,0,9,9
16300,1,0,0,0,9,3,12,12
16400,1,0,0,0,0,0,3,0
16500,1,0,0,0,0,0,3,0
16600,1,0,0,0,6,0,9,12
16700,1,12,0,0,3,0,15,15
16800,1,6,0,0,0,0,12,12
16901,1,0,0,0,0,0,0,0
16902,1,0,0,0,0,0,0,0
17001,1,0,0,0,0,0,0,0
17003,1,0,0,0,0,0,0,0
17005,1,0,0,0,0,0,0,0
17006,1,0,0,0,0,0,0,0
17100,1,0,0,0,0,0,0,0
17200,1,0,0,0,0,0,0,0
17301,1,0,0,0,0,0,3,0
17302,1,0,0,0,0,0,3,0
17402,1,0,0,0,0,0,6,0
17403,1,0,0,0,0,0,0,0
17404,1,0,0,0,0,0,0,0
17405,1,0,0,0,0,0,0,0
17406,1,0,0,0,0,0,0,0
17407,1,0,0,0,0,0,0,0
17408,1,0,0,0,0,0,0,0
17409,1,0,0,0,0,0,0,0
17500,1,0,0,0,0,0,6,0
17600,1,0,0,0,0,0,3,0
17700,1,6,0,0,0,0,9,12
17800,1,0,0,0,0,0,6,0
17900,1,0,0,0,0,0,0,0
18000,1,0,0,0,0,0,0,0
18100,1,0,0,0,0,0,6,0
18201,1,0,0,0,9,0,9,9
18202,1,0,0,0,0,0,0,0
18203,1,0,0,0,0,0,0,0
18300,1,0,0,0,0,0,0,0
18400,1,0,0,0,0,0,3,0
18500,1,0,0,0,0,0,0,0
18600,1,0,0,0,0,0,3,0
18700,1,0,0,0,0,0,6,6
18800,1,3,0,0,9,0,12,12
18900,1,9,0,3,9,6,27,21
19000,1,0,0,0,0,0,3,0
19100,1,0,0,0,0,0,3,0
19200,1,0,0,0,0,0,3,0
19300,1,0,0,0,0,0,3,0
19400,1,0,0,0,0,0,6,6
19500,1,0,0,0,0,0,0,0
19600,1,0,0,0,9,0,9,9
19700,1,0,0,0,0,0,3,0
19801,1,0,0,0,0,0,3,0
19802,1,0,0,0,0,0,0,0
19900,1,0,0,0,6,0,9,9
20000,1,0,0,0,6,0,6,6
20100,1,0,0,0,0,0,0,0
20200,1,0,0,0,9,0,9,9
20300,1,0,0,0,0,0,3,0
20401,1,0,0,0,9,0,6,9
20402,1,0,0,0,6,0,9,9
20500,1,0,0,0,0,0,0,0
20600,1,0,0,0,0,0,0,0
20700,1,0,0,0,0,0,3,0
20800,1,0,0,0,0,0,3,0
20900,1,0,0,0,0,0,0,0
21000,1,0,0,0,0,0,0,0
21100,1,0,0,0,0,0,0,0
21200,1,0,0,0,0,0,0,0
21300,1,0,0,0,0,0,0,0
21400,1,0,0,0,0,0,3,0
21500,1,0,0,0,0,0,0,0
21600,1,0,0,0,0,0,0,0
21700,1,0,0,0,0,0,0,0
21800,1,0,0,0,0,0,0,0
21900,1,0,0,0,0,0,0,0
22000,1,6,0,3,9,0,18,18
22100,1,0,0,0,0,0,6,0
22200,1,0,0,0,0,0,0,0
22300,1,0,0,0,0,0,3,0
22400,1,0,0,0,0,0,6,0
22500,1,0,0,0,0,0,9,6
22600,1,0,0,0,0,0,0,0
22700,1,0,0,0,0,0,3,0
22800,1,0,0,0,0,0,3,0
22900,1,0,0,0,0,0,0,0
23000,1,0,0,0,6,0,6,6
23100,1,0,0,0,0,0,6,0
23200,1,0,0,0,0,0,0,0
23300,1,0,0,0,0,0,3,0
23400,1,0,0,0,0,0,3,0
23500,1,0,0,0,0,0,0,0
23600,1,0,6,0,6,3,18,18
23700,1,9,0,0,3,0,12,12
23800,1,0,0,0,12,0,15,12
23900,1,0,0,0,0,0,3,0
24000,1,0,0,0,6,0,6,9
24100,1,0,0,0,0,0,0,0
24201,1,0,0,0,0,0,0,0
24202,1,0,0,0,0,0,0,0
24300,1,0,0,0,0,0,3,0
24400,1,0,0,0,0,0,3,0
24500,1,0,0,0,0,0,3,0
24600,1,0,0,0,0,0,3,0
24700,1,0,0,0,0,0,0,0
24800,1,0,0,0,0,0,0,0
24900,1,0,0,0,0,0,0,0
25000,1,0,0,0,0,0,0,0
25100,1,0,0,0,0,0,3,0
25200,1,0,0,0,6,0,9,9
25300,1,0,0,0,0,0,3,0
25400,1,0,0,0,0,0,3,0
25500,1,0,0,0,0,0,3,0
25600,1,0,0,0,6,0,6,6
25700,1,0,0,0,0,0,6,6
25800,1,3,0,3,6,0,12,12
25900,1,0,0,0,0,0,3,0
26001,1,0,0,0,0,9,9,9
26002,1,0,6,0,15,0,21,21
26100,1,0,0,0,0,0,0,0
26201,1,0,0,0,0,0,6,0
26202,1,6,0,0,18,0,27,24
26301,1,0,0,0,0,0,0,0
26302,1,0,0,0,0,0,3,0
26303,1,0,0,0,9,0,12,9
26304,1,0,0,0,0,0,0,0
26305,1,0,0,0,0,0,0,0
26400,1,0,0,0,0,0,0,0
26500,1,0,0,0,0,0,3,0
26600,1,0,0,0,0,0,0,0
26700,1,0,0,0,0,0,0,0
26800,1,0,0,0,6,0,6,9
26900,1,0,0,0,0,0,6,0
27000,1,0,0,0,0,0,0,0
27100,1,0,0,0,0,0,3,0
27200,1,0,0,0,0,0,0,0
27300,1,0,0,0,0,0,6,0
27400,1,0,0,0,0,0,6,0
27500,1,0,0,0,0,0,0,0
27600,1,0,0,0,0,0,3,0
27700,1,0,0,0,0,0,0,0
27800,1,0,0,0,0,0,3,0
27900,1,0,0,0,0,0,0,0
28000,1,0,0,0,0,0,0,0
28100,1,0,0,0,0,0,3,0
28201,1,0,0,0,0,0,3,0
28202,1,0,0,0,0,0,0,0
28300,1,0,0,0,0,0,3,0
28400,1,0,0,0,0,0,0,0
28500,1,0,0,0,0,0,0,0
28600,1,0,0,0,0,0,0,0
28700,1,0,0,0,0,0,3,0
28800,1,0,0,0,0,0,0,0
28900,1,0,0,0,0,0,6,0
29000,1,0,0,0,0,0,3,0
29101,1,0,0,0,0,0,0,0
29102,1,0,0,0,0,0,0,0
29200,1,0,0,0,0,0,0,0
29301,1,0,0,0,0,0,0,0
29302,1,0,0,0,0,0,3,0
29400,1,0,0,0,6,0,9,9
29500,1,0,0,0,0,0,3,0
29600,1,0,0,0,0,0,6,0
29700,1,0,0,0,0,0,3,0
29800,1,0,0,0,0,0,3,0
29900,1,0,0,0,0,0,0,0
30000,1,0,0,0,0,0,6,0
30100,1,0,0,0,0,0,3,0
30200,1,0,0,0,0,0,0,0
30300,1,0,0,0,0,0,3,0
30400,1,0,0,0,0,0,6,0
30500,1,0,0,0,0,0,3,0
30600,1,0,0,0,0,0,9,9
30700,1,0,0,0,0,0,3,0
30800,1,0,0,0,0,0,0,0
30900,1,0,0,0,0,0,0,0
31000,1,0,0,0,0,0,3,0
31100,1,0,0,0,0,0,6,0
31200,1,0,0,0,0,0,3,0
31300,1,0,0,0,0,0,0,0
31400,1,0,0,0,0,0,3,0
31500,1,0,3,3,9,3,15,12
31600,1,0,0,0,0,0,3,0
31700,1,0,0,0,0,0,3,0
31800,1,0,0,0,12,0,9,9
31900,1,0,0,0,6,0,6,6
32000,1,0,0,0,0,0,0,0
32100,1,0,0,0,0,0,0,0
32200,1,0,0,0,0,0,0,0
32300,1,0,0,0,6,0,6,6
32400,1,0,0,0,0,0,3,0
32501,1,0,0,0,0,0,0,0
32502,1,0,0,0,0,0,0,0
32600,1,0,0,0,9,0,9,9
32700,1,0,0,0,0,0,3,0
32800,1,0,0,0,0,0,0,0
32900,1,0,0,0,0,0,3,0
33000,1,0,0,0,0,0,9,9
33100,1,0,0,0,9,0,9,9
33200,1,0,0,0,0,0,0,0
33300,1,0,0,0,0,0,0,0
33400,1,0,0,0,0,0,0,0
33500,1,0,0,0,0,0,3,0
33600,1,0,0,0,0,0,3,0
33700,1,0,0,0,0,0,9,9
33800,1,0,0,0,6,0,6,6
33900,1,0,0,0,6,0,6,6
34000,1,0,0,0,0,0,0,0
34101,1,0,0,0,6,0,6,6
34102,1,0,0,0,0,0,3,0
34201,1,0,0,0,0,0,3,0
34202,1,0,0,0,0,0,0,0
34301,1,0,0,0,0,0,0,0
34302,1,0,0,0,0,0,0,0
34400,1,0,0,0,0,0,0,0
34500,1,0,0,0,0,0,0,0
34600,1,0,0,0,0,0,0,0
34700,1,0,0,0,6,0,6,6
34800,1,0,0,0,0,0,0,0
34900,1,0,0,0,6,0,6,6
35000,1,0,0,0,9,0,9,12
35100,1,0,0,0,0,0,0,0
35200,1,0,0,0,0,0,3,0
35300,1,0,0,0,0,0,3,0
35401,1,0,0,0,0,0,0,0
35402,1,0,0,0,0,0,0,0
35501,1,0,0,0,0,0,3,0
35502,1,0,0,0,0,0,0,0
35600,1,0,0,0,0,0,0,0
35700,1,0,0,0,6,0,9,6
35800,1,0,0,0,0,0,6,0
35900,1,0,0,0,0,0,3,0
36000,1,0,0,0,0,0,0,0
36100,1,0,0,0,0,0,3,0
36202,1,0,0,0,0,0,0,0
36203,1,0,0,0,0,0,0,0
36204,1,0,0,0,0,0,0,0
36301,1,0,0,0,0,0,0,0
36302,1,0,0,0,6,0,9,6
36303,1,0,0,0,0,0,0,0
36401,1,0,0,0,0,0,0,0
36402,1,0,0,0,0,0,0,0
36500,1,0,0,0,0,0,0,0
36600,1,0,0,0,0,0,0,0
36700,1,0,0,0,0,0,6,6
36800,1,0,0,0,0,0,0,0
36901,1,0,0,0,0,0,0,0
36902,1,0,0,0,0,0,0,0
37000,1,0,0,0,0,0,3,0
37100,1,0,0,0,0,0,0,0
37202,1,0,0,0,0,0,0,0
37203,1,0,0,0,0,0,0,0
37204,1,0,0,0,0,0,0,0
37205,1,0,0,0,0,0,0,0
37301,1,0,0,0,0,0,0,0
37302,1,0,0,0,0,0,0,0
37401,1,0,0,0,0,0,6,0
37402,1,0,0,0,9,0,9,9
37501,1,0,0,0,0,0,3,0
37502,1,0,0,0,0,0,0,0
37600,1,0,0,0,0,0,6,0
37701,1,0,0,0,0,0,3,0
37702,1,0,0,0,0,0,3,0
37802,1,12,0,3,6,0,21,21
37803,1,0,0,0,0,0,6,0
37804,1,0,0,0,0,0,0,0
37805,1,0,0,0,0,0,0,0
37806,1,0,0,0,0,0,0,0
37807,1,0,0,0,0,0,0,0
37901,1,0,0,0,0,0,0,0
37902,1,0,0,0,0,0,0,0
38001,1,0,0,0,0,0,3,0
38002,1,0,0,0,0,0,0,0
38100,1,0,0,0,0,0,3,0
38200,1,0,0,0,0,0,6,0
38300,1,0,0,0,0,0,3,0
38400,1,0,0,0,0,0,3,0
38500,1,0,0,0,0,0,3,0
38600,1,0,0,0,0,0,3,0
38700,1,0,0,0,0,0,0,0
38800,1,0,0,0,0,0,0,0
38900,1,0,0,0,0,0,3,0
39000,1,0,0,0,6,0,6,6
39100,1,0,0,0,0,0,0,0
39200,1,0,0,0,0,0,3,0
39300,1,0,0,0,0,0,0,0
39400,1,0,0,0,0,0,0,0
39500,1,0,0,0,6,0,6,9
39600,1,0,0,0,0,0,0,0
39701,1,0,0,0,0,0,0,0
39702,1,0,0,0,0,0,0,0
39800,1,0,0,0,0,0,0,0
39900,1,0,0,0,0,0,6,0
40001,1,0,0,0,0,0,0,0
40002,1,0,0,0,0,0,0,0
40100,1,0,0,0,0,0,3,0
40200,1,0,0,0,0,0,0,0
40300,1,0,0,0,0,0,0,0
40400,1,0,0,0,0,0,0,0
40501,1,0,0,0,0,0,6,6
40502,1,0,0,0,0,0,0,0
40601,1,0,0,0,0,0,3,0
40602,1,0,0,0,0,0,0,0
40701,1,3,0,0,12,3,18,15
40702,1,0,0,0,0,0,6,0
40703,1,0,0,0,9,3,12,12
40801,1,0,0,0,9,0,9,12
40802,1,0,0,0,0,0,3,0
40900,1,0,0,0,6,0,9,6
41000,1,0,18,0,6,0,24,21
41100,1,0,0,0,12,0,12,12
41200,1,9,0,3,12,3,27,24
41300,1,6,0,0,15,0,21,18
41401,1,0,0,0,0,0,6,0
41402,1,3,0,0,9,0,12,12
41403,1,0,0,0,0,0,9,9
41500,1,0,0,0,0,0,0,0
41600,1,9,0,3,6,0,18,18
41700,1,0,0,0,9,3,12,12
41800,1,3,0,0,9,3,9,9
41900,1,0,0,0,0,0,6,0
42001,1,6,0,0,6,0,12,9
42002,1,0,0,0,0,0,6,0
42101,1,0,0,0,0,0,3,0
42102,1,0,0,0,9,0,9,6
42103,1,0,0,0,0,0,6,6
42201,1,0,0,0,0,0,0,0
42202,1,15,0,3,21,0,39,39
42300,1,12,0,0,12,0,24,21
42400,1,0,0,3,9,0,12,12
42500,1,3,0,3,9,0,12,12
42600,1,3,0,0,9,3,15,12
42700,1,0,0,0,9,0,12,12
42800,1,0,0,0,0,0,0,0
42900,1,0,0,0,0,0,3,0
43000,1,9,0,3,6,3,21,18
43100,1,6,0,3,9,0,12,12
43200,1,24,0,0,3,3,30,27
43300,1,0,0,0,0,0,9,9
43400,1,0,0,0,0,0,3,0
43500,1,3,0,0,15,0,21,21
43600,1,3,0,0,3,9,12,12
43700,1,0,0,0,0,0,0,0
43800,1,0,0,0,0,0,3,0
43902,1,0,0,0,0,0,0,0
43904,1,0,0,0,0,0,3,0
43905,1,0,0,0,6,0,9,6
43906,1,0,0,0,9,0,12,9
43907,1,0,0,0,6,0,6,6
44003,1,0,0,0,0,0,6,0
44004,1,0,0,0,0,0,3,0
44005,1,0,0,0,0,0,6,0
44006,1,0,0,0,0,0,3,0
44007,1,0,0,0,0,0,0,0
44008,1,0,0,0,0,0,6,6
44101,1,0,0,0,0,0,0,0
44102,1,0,0,0,9,0,12,9
44201,1,0,0,0,0,0,3,0
44202,1,0,0,0,0,0,0,0
44301,1,0,0,0,0,0,6,0
44302,1,0,0,0,0,0,0,0
44402,1,0,0,0,0,0,0,0
44403,1,0,0,0,0,0,3,0
44404,1,0,0,3,9,0,9,9
44405,1,0,0,0,6,0,6,6
44406,1,0,0,0,9,0,12,9
44501,1,0,0,0,9,0,9,9
44503,1,0,0,0,0,0,0,0
44504,1,0,0,0,9,0,9,9
44505,1,0,0,0,0,0,0,0
44506,1,0,0,0,0,0,0,0
44507,1,0,0,0,0,0,0,0
44508,1,0,0,0,0,0,0,0
44602,1,0,0,0,9,0,9,9
44603,1,0,0,0,0,0,0,0
44604,1,0,0,0,0,0,0,0
44605,1,0,0,0,0,0,0,0
44606,1,0,0,0,0,0,0,0
44607,1,0,0,0,0,0,0,0
44608,1,0,0,0,0,0,0,0
44609,1,0,0,0,0,0,0,0
44610,1,0,0,0,0,0,3,0
44611,1,0,0,0,0,0,0,0
44701,1,0,0,0,0,0,0,0
44702,1,0,0,0,6,0,6,6
44703,1,0,0,0,0,0,0,0
44801,1,0,0,0,0,0,3,0
44803,1,0,0,0,0,0,0,0
44804,1,0,0,0,0,0,3,0
44805,1,0,0,0,0,0,0,0
44806,1,0,0,0,0,0,0,0
44807,1,0,0,0,0,0,3,0
44808,1,0,0,0,0,0,0,0
44901,1,0,0,0,0,0,3,0
44902,1,0,0,0,0,0,3,0
45000,1,0,0,0,6,0,6,6
45100,1,0,0,0,0,0,3,0
45200,1,0,0,0,0,0,3,0
45300,1,0,0,0,0,0,6,0
45400,1,0,0,0,0,0,3,0
45500,1,0,0,0,0,0,0,0
45600,1,0,0,0,0,0,0,0
45700,1,0,0,0,0,0,3,0
45800,1,0,0,0,0,0,3,0
45901,1,0,0,0,0,0,0,0
45902,1,0,0,0,0,0,3,0
46001,1,0,0,0,0,0,3,0
46002,1,0,0,0,0,0,0,0
46100,1,0,0,0,0,0,0,0
46200,1,0,0,0,0,0,0,0
46300,1,0,0,0,0,0,3,0
46400,1,0,0,0,0,0,3,0
46500,1,0,0,0,0,0,0,0
46600,1,0,0,0,0,0,0,0
46700,1,0,0,0,0,0,9,9
46801,1,0,0,0,0,0,3,0
46802,1,0,0,0,0,0,0,0
46901,1,0,0,0,0,0,3,0
46902,1,0,0,0,0,0,0,0
47001,1,0,0,0,0,0,0,0
47002,1,0,0,0,0,0,0,0
47100,1,0,0,0,0,0,0,0
47200,1,0,0,0,0,0,0,0
47301,1,0,0,0,0,0,6,0
47302,1,0,0,0,0,0,0,0
47400,1,0,0,0,0,0,0,0
47500,1,0,0,0,0,0,3,0
47601,1,0,0,0,0,0,0,0
47602,1,0,0,0,0,0,0,0
47603,1,0,0,0,0,0,3,0
47701,1,0,0,0,0,0,3,0
47702,1,0,0,0,0,0,0,0
47801,1,0,0,0,0,0,3,0
47802,1,0,0,0,0,0,0,0
47901,1,0,0,0,0,0,6,0
47902,1,0,0,0,0,0,0,0
48001,1,0,0,0,0,0,3,0
48003,1,0,0,0,0,0,0,0
48004,1,0,0,0,0,0,3,0
48101,1,0,0,0,0,0,0,0
48102,1,0,0,0,0,0,0,0
48201,1,0,0,0,0,0,0,0
48203,1,0,0,0,0,0,9,6
48204,1,0,0,0,6,0,6,9
48205,1,0,0,0,0,0,0,0
48301,1,0,0,0,0,0,0,0
48303,1,0,0,0,0,0,3,0
48304,1,0,0,0,0,0,6,0
48403,1,0,0,0,0,0,0,0
48404,1,0,0,0,9,0,6,6
48405,1,0,0,0,0,0,0,0
48406,1,0,0,0,0,0,0,0
48407,1,0,0,0,0,0,3,0
48408,1,0,0,0,0,0,3,0
48409,1,0,0,0,9,0,9,9
48410,1,0,0,0,0,0,6,0
48500,1,0,0,0,0,0,3,0
48601,1,0,0,0,0,0,0,0
48602,1,0,0,0,0,0,0,0
48701,1,0,0,0,0,0,0,0
48702,1,0,0,0,0,0,3,0
48800,1,0,0,0,0,0,0,0
48900,1,0,0,0,0,0,3,0
49000,1,0,0,0,0,0,6,0
49102,1,0,0,0,0,0,3,0
49103,1,0,0,0,0,0,0,0
49104,1,0,0,0,0,0,0,0
49105,1,0,0,0,0,0,0,0
49203,1,0,0,0,0,0,0,0
49204,1,0,0,0,12,0,12,12
49205,1,0,0,0,0,0,0,0
49206,1,0,0,0,9,0,9,9
49302,1,0,0,0,9,0,9,9
49303,1,0,0,0,0,0,0,0
49304,1,0,0,0,0,0,3,0
49305,1,0,0,0,0,0,0,0
49306,1,0,0,0,0,0,6,6
49307,1,0,0,0,0,0,6,0
49401,1,0,0,0,6,0,6,6
49403,1,0,0,0,0,0,6,0
49404,1,0,0,0,0,0,0,0
49405,1,0,0,0,6,0,6,6
49406,1,0,0,0,12,0,12,12
49407,1,0,0,0,15,0,15,12
49501,1,0,0,0,0,0,0,0
49502,1,0,0,0,0,0,0,0
49503,1,0,0,0,0,0,0,0
49504,1,0,0,0,0,0,3,0
49505,1,0,0,0,0,0,0,0
49506,1,0,0,0,0,0,0,0
49507,1,0,0,0,0,0,3,0
49600,1,0,0,0,6,0,6,9
49700,1,0,0,0,21,0,21,21
