meshblock_id,census_year_id,females,males,total
20200,1,108,111,219
20300,1,51,48,99
20401,1,102,90,192
20402,1,90,81,171
20500,1,3,3,6
20600,1,9,12,24
20700,1,39,33,69
20800,1,21,21,45
20900,1,15,21,36
21000,1,27,21,48
21100,1,6,9,15
21200,1,6,9,18
21300,1,15,21,33
21400,1,24,18,42
21500,1,0,3,3
21600,1,0,0,0
21700,1,0,0,0
21800,1,0,0,0
21900,1,18,18,39
22000,1,84,87,171
22100,1,18,18,36
22200,1,6,12,18
22300,1,27,42,72
22400,1,21,15,39
22500,1,84,87,171
22600,1,18,15,30
22700,1,21,24,45
22800,1,54,45,102
22900,1,9,12,24
23000,1,24,27,51
23100,1,87,81,168
23200,1,12,12,24
23300,1,39,45,84
23400,1,48,45,96
23500,1,0,0,0
23600,1,42,39,81
23700,1,45,51,96
23800,1,63,66,129
23900,1,27,12,42
24000,1,45,48,96
24100,1,9,9,18
24201,1,0,0,3
24202,1,0,0,0
24300,1,51,42,93
24400,1,90,111,201
24500,1,33,21,57
24600,1,33,33,66
24700,1,30,21,51
24800,1,0,0,3
24900,1,15,15,33
25000,1,15,12,27
25100,1,30,39,69
25200,1,33,39,72
25300,1,51,45,93
25400,1,21,24,48
25500,1,54,42,96
25600,1,21,24,48
25700,1,18,18,39
25800,1,45,45,93
25900,1,15,18,33
26001,1,24,27,51
26002,1,90,63,153
26100,1,0,0,3
26201,1,18,15,36
26202,1,120,144,264
26301,1,0,0,0
26302,1,24,30,51
26303,1,36,33,69
26304,1,0,0,0
26305,1,0,3,3
26400,1,27,18,48
26500,1,30,42,69
26600,1,18,15,39
26700,1,12,9,21
26800,1,39,39,81
26900,1,39,42,81
27000,1,6,3,9
27100,1,15,15,30
27200,1,0,0,0
27300,1,18,21,39
27400,1,24,27,48
27500,1,24,21,48
27600,1,12,18,30
27700,1,15,6,21
27800,1,30,21,48
27900,1,6,6,12
28000,1,18,12,27
28100,1,27,24,51
28201,1,3,3,6
28202,1,12,9,18
28300,1,48,63,111
28400,1,0,0,0
28500,1,15,24,42
28600,1,15,15,30
28700,1,18,21,39
28800,1,6,3,9
28900,1,27,27,51
29000,1,12,9,21
29101,1,0,0,0
29102,1,0,0,0
29200,1,9,15,24
29301,1,0,0,0
29302,1,12,15,27
29400,1,45,48,93
29500,1,39,36,78
29600,1,21,18,39
29700,1,30,24,54
29800,1,39,51,90
29900,1,12,6,15
30000,1,36,30,63
30100,1,15,21,36
30200,1,15,18,30
30300,1,21,12,30
30400,1,33,33,69
30500,1,18,27,45
30600,1,30,24,54
30700,1,51,51,102
30800,1,24,24,45
30900,1,15,9,24
31000,1,12,15,27
31100,1,9,12,21
31200,1,39,36,75
31300,1,0,3,6
31400,1,18,18,36
31500,1,57,51,108
31600,1,12,9,21
31700,1,9,18,30
31800,1,36,33,69
31900,1,27,33,63
32000,1,0,0,0
32100,1,30,42,72
32200,1,6,6,12
32300,1,66,66,129
32400,1,15,12,24
32501,1,30,33,63
32502,1,0,0,0
32600,1,78,57,135
32700,1,30,21,51
32800,1,9,12,21
32900,1,18,15,33
33000,1,42,33,75
33100,1,63,60,126
33200,1,12,18,30
33300,1,12,9,21
33400,1,21,30,54
33500,1,9,12,21
33600,1,60,54,111
33700,1,72,81,156
33800,1,69,69,138
33900,1,42,39,78
34000,1,15,15,30
34101,1,75,66,144
34102,1,9,12,21
34201,1,42,39,81
34202,1,48,51,99
34301,1,18,18,39
34302,1,0,0,3
34400,1,33,36,69
34500,1,21,18,39
34600,1,30,27,54
34700,1,63,63,126
34800,1,18,15,36
34900,1,27,27,57
35000,1,36,48,84
35100,1,9,9,18
35200,1,60,54,114
35300,1,12,15,27
35401,1,6,3,6
35402,1,15,18,33
35501,1,21,30,48
35502,1,3,3,6
35600,1,18,27,45
35700,1,57,60,114
35800,1,48,45,96
35900,1,60,63,126
36000,1,15,15,30
36100,1,24,24,51
36202,1,0,0,3
36203,1,6,6,12
36204,1,3,6,12
36301,1,6,6,12
36302,1,36,45,78
36303,1,3,3,9
36401,1,15,18,36
36402,1,3,3,6
36500,1,27,30,57
36600,1,3,3,3
36700,1,54,57,108
36800,1,15,15,30
36901,1,6,6,12
36902,1,9,12,21
37000,1,24,33,57
37100,1,0,0,3
37202,1,6,9,12
37203,1,0,0,0
37204,1,0,0,0
37205,1,0,0,0
37301,1,0,0,0
37302,1,0,0,6
37401,1,51,39,87
37402,1,72,72,141
37501,1,21,15,36
37502,1,9,12,21
37600,1,21,21,42
37701,1,12,9,21
37702,1,15,9,24
37802,1,102,111,213
37803,1,24,27,51
37804,1,0,0,3
37805,1,3,6,9
37806,1,0,0,0
37807,1,30,27,57
37901,1,21,27,48
37902,1,0,0,0
38001,1,15,18,33
38002,1,0,0,0
38100,1,24,33,54
38200,1,36,42,78
38300,1,33,30,57
38400,1,27,18,45
38500,1,24,30,54
38600,1,30,30,63
38700,1,54,54,105
38800,1,3,3,6
38900,1,18,18,36
39000,1,36,54,93
39100,1,27,27,51
39200,1,15,21,33
39300,1,18,21,39
39400,1,3,9,12
39500,1,48,48,96
39600,1,39,36,75
39701,1,6,9,18
39702,1,9,18,24
39800,1,27,24,51
39900,1,42,45,87
40001,1,6,3,6
40002,1,15,12,24
40100,1,15,18,30
40200,1,27,39,63
40300,1,15,18,30
40400,1,9,9,15
40501,1,33,39,69
40502,1,0,0,0
40601,1,18,21,36
40602,1,0,0,0
40701,1,63,63,129
40702,1,33,24,57
40703,1,57,48,108
40801,1,51,60,108
40802,1,18,24,45
40900,1,36,48,87
41000,1,24,21,48
41100,1,54,54,102
41200,1,93,90,180
41300,1,108,93,201
41401,1,33,27,57
41402,1,69,51,117
41403,1,60,48,105
41500,1,21,21,39
41600,1,39,33,72
41700,1,78,60,138
41800,1,63,45,105
41900,1,51,45,99
42001,1,60,51,111
42002,1,51,48,99
42101,1,9,6,12
42102,1,42,33,75
42103,1,30,33,60
42201,1,12,12,27
42202,1,144,120,264
42300,1,87,78,168
42400,1,48,42,87
42500,1,45,39,81
42600,1,24,33,54
42700,1,54,42,96
42800,1,0,0,3
42900,1,21,24,45
43000,1,72,75,147
43100,1,69,51,120
43200,1,99,87,186
43300,1,27,21,51
43400,1,9,15,24
43500,1,78,87,165
43600,1,33,42,72
43700,1,6,6,18
43800,1,57,57,117
43902,1,9,9,21
