meshblock_id,census_year_id,employer,not_elsewhere_included,paid_employee,self_employed_without_employee,total,total_stated,unpaid_family_worker
10300,1,0,0,0,0,6,0,0
10400,1,3,0,9,3,15,15,0
10500,1,0,0,0,0,6,0,0
10600,1,6,3,18,3,30,27,3
10700,1,12,3,102,27,147,141,3
10800,1,0,0,0,0,3,0,0
10900,1,3,3,24,9,36,33,3
11000,1,0,0,21,0,24,24,0
11100,1,0,0,9,0,12,9,0
11200,1,0,0,0,0,0,0,0
11300,1,0,3,18,9,30,27,3
11400,1,0,0,0,0,9,9,0
11500,1,0,0,0,0,3,0,0
11600,1,0,0,0,0,3,0,0
11700,1,0,0,3,6,12,12,3
11800,1,0,0,9,0,12,12,0
11900,1,0,0,15,3,18,18,3
12000,1,0,0,0,0,9,9,0
12101,1,0,0,0,0,0,0,0
12102,1,0,0,0,0,3,0,0
12103,1,3,3,3,0,12,12,3
12200,1,0,0,9,0,15,12,6
12300,1,3,0,12,9,27,24,0
12400,1,3,0,21,6,33,33,3
12500,1,0,3,12,0,18,15,3
12601,1,0,0,12,3,15,18,3
12602,1,0,0,6,0,12,9,0
12701,1,0,0,18,3,30,30,3
12702,1,3,0,12,0,15,18,0
12800,1,0,0,0,0,0,0,0
12902,1,3,3,12,6,24,21,0
12903,1,9,9,39,3,60,57,3
12904,1,3,3,60,6,72,66,0
13000,1,0,0,48,0,51,51,0
13100,1,3,6,57,6,69,66,0
13203,1,0,0,63,3,72,69,3
13204,1,3,0,18,0,21,21,0
13205,1,0,0,24,6,36,33,3
13206,1,0,3,24,0,27,24,0
13207,1,3,0,21,0,24,24,3
13300,1,9,0,84,6,105,102,0
13400,1,6,3,39,9,60,57,3
13500,1,0,0,0,0,6,6,0
13600,1,3,0,12,0,18,18,3
13700,1,3,3,18,3,27,24,0
13800,1,0,0,0,0,0,0,0
13900,1,0,3,24,6,33,27,0
14000,1,0,0,0,0,0,0,0
14100,1,0,0,0,0,3,0,0
14200,1,0,0,0,0,3,0,0
14300,1,3,0,30,6,45,45,3
14400,1,6,0,66,6,87,84,3
14500,1,0,0,6,0,6,9,0
14600,1,0,0,0,0,0,0,0
14700,1,3,0,18,0,21,21,0
14800,1,0,0,6,0,9,6,0
14900,1,9,0,33,3,51,48,0
15000,1,6,0,21,9,36,36,0
15100,1,6,0,15,3,24,21,0
15200,1,0,0,15,0,18,18,0
15300,1,6,3,60,6,78,75,6
15401,1,0,0,0,0,6,6,0
15402,1,9,0,63,3,78,75,0
15500,1,0,3,90,3,99,96,3
15600,1,3,3,36,6,45,42,0
15700,1,3,0,15,0,18,15,0
15800,1,0,3,27,0,30,30,3
15900,1,0,0,15,3,21,21,0
16000,1,3,3,15,3,24,21,0
16100,1,0,0,0,0,0,0,0
16200,1,3,3,21,6,27,27,0
16300,1,6,6,33,6,51,45,3
16400,1,0,0,0,0,6,0,0
16500,1,0,0,0,0,3,0,0
16600,1,0,0,15,0,18,18,3
16700,1,0,3,6,0,12,9,0
16800,1,0,3,15,0,15,15,0
16901,1,0,0,0,0,0,0,0
16902,1,0,0,0,0,0,0,0
17001,1,0,0,0,0,0,0,0
17003,1,0,0,0,0,0,0,0
17005,1,0,0,0,0,0,0,0
17006,1,0,0,0,0,0,0,0
17100,1,0,0,0,0,0,0,0
17200,1,0,0,0,0,0,0,0
17301,1,0,0,9,3,12,12,3
17302,1,3,0,12,3,21,21,0
17402,1,3,0,12,9,27,30,3
17403,1,0,0,3,6,12,12,6
17404,1,0,0,0,0,3,0,0
17405,1,0,0,0,0,0,0,0
17406,1,0,0,0,0,0,0,0
17407,1,0,0,0,0,0,0,0
17408,1,0,0,0,0,3,0,0
17409,1,0,0,0,0,3,0,0
17500,1,9,0,30,12,54,54,6
17600,1,3,0,24,9,36,36,0
17700,1,3,3,18,3,30,27,3
17800,1,0,3,21,9,36,33,3
17900,1,0,0,0,0,6,9,0
18000,1,0,0,0,0,3,0,0
18100,1,3,0,15,6,24,24,3
18201,1,3,3,18,3,30,27,0
18202,1,0,0,0,0,0,0,0
18203,1,0,0,0,0,6,6,0
18300,1,0,0,6,9,18,18,0
18400,1,0,0,0,0,6,6,0
18500,1,0,0,0,0,9,9,0
18600,1,6,0,6,3,9,9,3
18700,1,0,0,18,9,30,30,0
18800,1,0,0,15,6,21,18,3
18900,1,3,3,69,9,87,84,6
19000,1,0,0,0,0,6,6,0
19100,1,3,0,15,3,21,21,0
19200,1,3,0,3,3,12,12,3
19300,1,6,0,12,6,24,27,3
19400,1,6,0,36,15,72,72,12
19500,1,0,0,0,0,0,0,0
19600,1,6,0,21,6,39,39,3
19700,1,3,0,15,12,33,36,3
19801,1,0,3,24,3,30,27,0
19802,1,0,0,0,0,3,0,0
19900,1,12,3,30,18,66,66,3
20000,1,3,3,12,3,27,21,6
20100,1,0,0,0,0,0,0,0
20200,1,3,0,57,6,75,75,6
20300,1,0,3,15,12,36,36,6
20401,1,9,3,30,18,66,66,6
20402,1,3,3,36,3,45,42,0
20500,1,0,0,0,0,0,0,0
20600,1,0,0,6,9,18,18,3
20700,1,0,0,0,0,9,6,0
20800,1,3,0,6,6,18,21,3
20900,1,3,0,6,6,18,18,0
21000,1,0,0,0,0,6,6,0
21100,1,0,0,0,0,3,0,0
21200,1,0,0,0,0,3,0,0
21300,1,0,0,3,6,12,12,3
21400,1,0,0,9,0,15,15,0
21500,1,0,0,0,0,6,0,0
21600,1,0,0,0,0,0,0,0
21700,1,0,0,0,0,0,0,0
21800,1,0,0,0,0,0,0,0
21900,1,0,0,6,6,18,18,3
22000,1,0,6,15,3,27,24,6
22100,1,0,3,6,3,12,12,0
22200,1,0,0,0,0,6,6,0
22300,1,0,3,12,3,21,21,3
22400,1,0,0,9,0,9,9,0
22500,1,6,3,33,12,60,57,3
22600,1,0,0,0,0,6,6,0
22700,1,0,0,6,0,9,9,0
22800,1,3,6,6,0,21,15,3
22900,1,0,0,0,0,6,6,0
23000,1,0,0,0,0,6,0,0
23100,1,0,3,15,3,30,27,6
23200,1,0,0,0,0,6,6,0
23300,1,3,3,12,9,30,27,3
23400,1,3,3,21,3,36,30,3
23500,1,0,0,0,0,0,0,0
23600,1,0,0,21,3,30,33,6
23700,1,0,3,12,0,15,15,0
23800,1,0,3,21,6,30,27,3
23900,1,3,0,9,0,12,12,0
24000,1,3,0,24,0,30,27,0
24100,1,0,0,0,0,6,6,0
24201,1,0,0,0,0,3,0,0
24202,1,0,0,0,0,0,0,0
24300,1,3,3,15,6,30,27,6
24400,1,0,3,21,6,39,36,9
24500,1,0,0,9,0,6,6,0
24600,1,0,3,9,3,15,12,0
24700,1,0,0,0,0,6,0,0
24800,1,0,0,0,0,0,0,0
24900,1,0,0,6,9,18,18,3
25000,1,3,0,6,3,15,15,0
25100,1,0,3,6,6,24,21,12
25200,1,0,0,9,3,15,18,6
25300,1,0,3,15,0,21,21,6
25400,1,3,0,9,6,18,18,3
25500,1,0,0,6,9,18,18,3
25600,1,3,3,9,3,18,15,3
25700,1,0,0,0,0,6,0,0
25800,1,3,0,6,3,18,15,3
25900,1,0,0,0,0,3,0,0
26001,1,0,0,18,0,18,18,0
26002,1,3,21,12,12,48,27,0
26100,1,0,0,0,0,0,0,0
26201,1,0,0,9,0,12,12,0
26202,1,6,27,42,9,84,57,3
26301,1,0,0,0,0,0,0,0
26302,1,0,0,0,0,9,9,0
26303,1,3,0,9,6,18,18,3
26304,1,0,0,0,0,0,0,0
26305,1,0,0,0,0,3,0,0
26400,1,0,0,3,3,12,12,9
26500,1,0,0,9,3,15,15,3
26600,1,0,3,6,9,15,12,0
26700,1,0,0,0,0,6,0,0
26800,1,3,0,6,9,24,24,3
26900,1,0,0,12,9,24,24,6
27000,1,0,0,0,0,3,0,0
27100,1,0,0,0,0,9,9,0
