meshblock_id,census_year_id,do_not_own,not_elsewhere_included,own_or_partly_own,total_people,total_stated
13800,1,0,0,0,0,0
13900,1,24,15,42,84,66
14000,1,0,0,0,3,0
14100,1,6,3,12,24,21
14200,1,3,3,3,9,9
14300,1,21,12,45,75,66
14400,1,66,27,84,174,147
14500,1,6,0,9,15,12
14600,1,0,0,0,0,0
14700,1,18,9,18,45,36
14800,1,6,6,6,18,9
14900,1,51,6,63,117,111
15000,1,12,3,39,51,48
15100,1,48,9,36,93,84
15200,1,21,15,21,57,42
15300,1,63,27,72,162,138
15401,1,6,0,6,12,12
15402,1,117,12,81,210,201
15500,1,114,36,57,207,174
15600,1,60,12,45,117,105
15700,1,54,6,30,87,81
15800,1,39,6,30,72,69
15900,1,21,3,24,48,45
16000,1,30,3,15,48,45
16100,1,0,0,0,3,0
16200,1,27,12,24,63,51
16300,1,33,18,42,96,75
16400,1,6,0,3,9,9
16500,1,6,0,0,6,6
16600,1,27,24,18,69,48
16700,1,30,15,9,51,36
16800,1,21,6,6,33,30
16901,1,0,0,0,0,0
16902,1,0,0,0,0,0
17001,1,0,0,0,0,0
17003,1,0,0,0,0,0
17005,1,0,0,0,0,0
17006,1,0,0,0,3,0
17100,1,0,0,0,0,0
17200,1,0,0,0,0,0
17301,1,18,12,6,33,24
17302,1,18,0,15,33,33
17402,1,27,18,42,87,66
17403,1,12,24,18,51,27
17404,1,0,0,6,6,6
17405,1,0,0,0,0,0
17406,1,0,0,0,3,0
17407,1,0,0,0,3,0
17408,1,3,3,9,15,12
17409,1,0,3,6,6,9
17500,1,27,9,48,84,75
17600,1,18,12,45,75,63
17700,1,30,6,30,69,63
17800,1,21,24,27,69,45
17900,1,3,6,6,15,9
18000,1,0,0,0,6,6
18100,1,24,27,24,78,51
18201,1,36,18,33,87,69
18202,1,0,6,0,6,0
18203,1,3,0,6,9,9
18300,1,9,3,24,33,33
18400,1,6,0,6,12,12
18500,1,3,3,18,24,21
18600,1,9,0,6,18,15
18700,1,27,6,15,51,45
18800,1,42,6,24,75,66
18900,1,78,9,81,174,162
19000,1,9,0,3,9,9
19100,1,15,3,21,39,39
19200,1,9,3,15,27,24
19300,1,6,0,27,36,33
19400,1,42,18,48,108,93
19500,1,0,0,0,0,0
19600,1,48,18,33,99,81
19700,1,21,12,36,69,57
19801,1,30,33,33,96,60
19802,1,0,0,0,3,0
19900,1,33,9,99,144,132
20000,1,18,27,48,93,66
20100,1,0,0,0,0,0
