meshblock_id,census_year_id,couple_with_children,couple_without_children,one_parent,total
17001,1,0,0,0,0
17003,1,0,0,0,0
17005,1,0,0,0,0
17006,1,0,0,0,0
17100,1,0,0,0,0
17200,1,0,0,0,0
17301,1,6,6,3,12
17302,1,3,3,0,9
17402,1,9,9,3,24
17403,1,3,6,6,15
17404,1,0,0,0,3
17405,1,0,0,0,0
17406,1,0,0,0,3
17407,1,0,0,0,3
17408,1,0,0,0,6
17409,1,0,0,0,3
17500,1,15,9,6,30
17600,1,9,12,3,24
17700,1,9,6,12,24
17800,1,12,6,3,21
17900,1,0,0,0,3
18000,1,0,0,0,3
18100,1,9,9,6,21
18201,1,12,9,9,27
18202,1,0,0,0,0
18203,1,0,0,0,6
18300,1,6,6,6,15
18400,1,0,0,0,6
18500,1,3,6,3,9
18600,1,0,0,0,6
18700,1,6,3,6,12
18800,1,6,3,6,21
18900,1,27,15,18,63
19000,1,0,0,0,3
19100,1,3,6,3,15
19200,1,3,6,0,12
19300,1,3,12,0,15
19400,1,15,12,6,36
19500,1,0,0,0,0
19600,1,9,6,9,24
19700,1,9,9,6,24
19801,1,12,9,6,27
19802,1,0,0,0,0
19900,1,12,33,9,51
20000,1,3,12,12,30
20100,1,0,0,0,0
20200,1,27,21,6,57
20300,1,12,3,6,21
20401,1,18,15,9,45
20402,1,15,12,9,39
20500,1,0,0,0,0
20600,1,3,6,0,6
20700,1,3,6,6,15
20800,1,3,3,6,12
20900,1,3,3,3,9
21000,1,0,0,0,6
21100,1,0,0,0,3
21200,1,0,0,0,3
21300,1,0,0,0,6
21400,1,6,3,0,9
21500,1,0,0,0,0
21600,1,0,0,0,0
21700,1,0,0,0,0
21800,1,0,0,0,0
21900,1,6,0,3,9
22000,1,12,9,18,39
22100,1,3,3,3,9
22200,1,0,0,0,6
22300,1,9,6,3,15
22400,1,3,3,3,9
22500,1,15,15,12,42
22600,1,0,0,0,3
22700,1,3,3,3,9
22800,1,6,6,6,18
22900,1,0,0,0,6
23000,1,0,3,6,12
23100,1,15,3,12,33
23200,1,0,0,0,6
23300,1,6,12,3,24
23400,1,9,0,3,18
23500,1,0,0,0,0
23600,1,6,6,6,18
23700,1,6,9,9,27
23800,1,3,9,18,30
23900,1,0,3,3,9
24000,1,9,6,6,21
24100,1,0,0,0,6
24201,1,0,0,0,3
24202,1,0,0,0,0
24300,1,9,6,0,15
24400,1,15,3,9,30
24500,1,3,0,3,6
24600,1,6,3,6,15
24700,1,0,0,0,6
24800,1,0,0,0,0
24900,1,3,6,3,12
25000,1,6,0,3,9
25100,1,6,9,3,21
25200,1,6,6,12,24
25300,1,9,3,9,21
25400,1,3,3,6,12
25500,1,9,3,0,12
25600,1,6,9,3,15
25700,1,3,3,6,12
25800,1,6,9,9,24
25900,1,0,0,0,6
26001,1,3,3,3,12
26002,1,3,12,6,21
26100,1,0,0,0,0
26201,1,3,3,0,9
26202,1,18,24,18,57
26301,1,0,0,0,0
26302,1,3,0,6,9
26303,1,6,6,6,18
26304,1,0,0,0,0
26305,1,0,0,0,3
26400,1,0,3,3,9
26500,1,9,3,6,15
26600,1,0,0,0,6
26700,1,0,0,0,6
26800,1,6,6,3,21
26900,1,9,3,3,18
27000,1,0,0,0,3
27100,1,3,3,0,9
27200,1,0,0,0,0
27300,1,3,3,3,9
27400,1,3,6,3,15
27500,1,3,3,3,9
27600,1,3,3,3,9
27700,1,0,0,0,3
27800,1,3,3,9,12
27900,1,0,0,0,3
28000,1,0,0,0,6
28100,1,3,6,3,12
28201,1,0,0,0,0
28202,1,0,0,0,6
28300,1,15,6,3,27
28400,1,0,0,0,0
28500,1,6,3,0,9
28600,1,3,6,0,9
28700,1,6,3,3,9
28800,1,0,0,0,6
28900,1,6,6,3,15
29000,1,0,0,0,6
29101,1,0,0,0,0
29102,1,0,0,0,0
29200,1,0,0,0,3
29301,1,0,0,0,0
29302,1,0,0,0,6
29400,1,3,12,9,24
29500,1,9,3,6,18
29600,1,3,0,6,9
29700,1,6,3,3,12
29800,1,12,6,6,21
29900,1,0,0,0,3
30000,1,9,3,3,12
30100,1,3,3,3,9
30200,1,0,0,0,6
30300,1,0,0,0,6
30400,1,3,0,6,12
30500,1,6,3,3,12
30600,1,3,0,6,12
30700,1,6,6,9,24
30800,1,6,0,3,9
30900,1,0,0,0,6
31000,1,3,0,0,6
31100,1,0,0,0,6
31200,1,12,6,3,18
31300,1,0,0,0,0
31400,1,3,0,3,9
31500,1,9,9,9,27
31600,1,0,0,0,3
31700,1,3,3,3,9
31800,1,6,6,3,15
31900,1,6,3,9,15
32000,1,0,0,0,0
32100,1,6,3,3,15
32200,1,0,0,0,6
32300,1,12,18,3,33
32400,1,0,0,0,6
32501,1,6,9,3,18
32502,1,0,0,0,0
32600,1,12,6,9,27
32700,1,6,3,3,12
32800,1,0,0,0,6
32900,1,3,3,3,6
33000,1,6,3,6,15
33100,1,9,12,15,33
33200,1,3,6,3,9
33300,1,0,0,0,0
33400,1,6,9,3,15
33500,1,0,0,0,6
33600,1,12,24,0,36
33700,1,18,15,6,39
33800,1,15,21,6,42
33900,1,12,9,3,24
34000,1,6,3,0,9
34101,1,21,15,3,39
