meshblock_id,census_year_id,doctortates,level_five_or_six,level_four,level_one,level_seven,level_three,level_two,masters,no_qualification,not_elsewhere_included,overseas_secondary,postgraduate,total,total_stated
2438601,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2438603,3,0,33,33,21,39,18,27,3,39,12,24,12,264,252
2438604,3,0,0,0,0,0,0,6,0,0,0,0,0,24,24
2438605,3,0,12,18,15,12,9,15,0,18,0,3,0,99,102
2438701,3,0,9,12,18,6,3,15,0,12,6,3,3,84,78
2438702,3,0,24,21,33,21,15,24,3,24,6,6,6,177,171
2438803,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2438804,3,0,15,24,21,18,15,21,9,18,9,6,6,162,153
2438805,3,0,30,24,36,30,21,30,6,51,30,18,12,285,255
2438806,3,3,12,15,15,21,12,15,6,15,3,6,0,123,120
2438807,3,0,12,9,15,9,6,12,0,15,6,3,3,87,81
2438901,3,0,24,24,30,30,12,36,3,30,15,3,3,216,201
2438902,3,3,27,21,18,18,9,24,3,27,9,12,3,177,165
2439001,3,0,9,6,9,6,0,6,3,9,3,0,3,54,51
2439002,3,0,21,21,18,18,9,15,3,15,9,6,3,138,129
2439101,3,0,12,6,15,3,6,12,0,9,12,3,0,81,69
2439102,3,0,9,6,21,9,3,15,3,21,9,3,3,99,90
2439200,3,0,18,21,21,9,15,15,0,42,18,3,3,168,150
2439303,3,0,0,0,0,0,0,0,0,0,0,0,0,9,6
2439304,3,0,18,27,48,6,18,30,0,69,24,12,3,255,231
2439305,3,0,6,15,12,6,3,18,0,21,9,3,3,93,87
2439306,3,3,12,15,12,9,12,6,0,9,12,9,3,99,84
2439402,3,3,27,24,30,21,21,27,3,42,12,9,3,222,210
2439403,3,0,3,3,3,6,0,6,0,6,3,0,0,33,30
2439404,3,0,3,6,6,3,3,3,0,9,3,0,0,36,30
2439500,3,0,3,6,12,6,6,3,0,6,3,0,3,51,48
2439601,3,0,3,9,12,3,3,6,0,21,6,0,0,60,51
2439602,3,0,0,3,9,9,3,9,3,12,3,3,0,54,48
2439603,3,0,3,6,12,3,0,6,0,6,0,3,0,36,36
2439700,3,0,3,6,12,3,3,9,0,18,6,3,0,66,57
2439802,3,0,3,6,12,3,3,3,0,15,3,0,0,48,45
2439803,3,0,3,9,3,6,0,6,3,6,0,0,3,33,30
2439804,3,3,6,3,9,6,6,9,0,21,12,3,0,78,69
2439900,3,0,12,9,12,6,6,12,3,24,3,6,3,99,96
2440001,3,0,0,0,0,0,0,0,0,0,0,0,0,15,15
2440002,3,0,0,0,0,0,0,0,0,0,9,0,0,15,9
2440003,3,0,6,18,18,3,6,12,0,45,12,3,0,120,108
2440100,3,0,9,3,6,3,3,3,0,15,9,0,3,45,39
2440200,3,0,3,9,3,6,6,9,3,9,0,3,0,51,45
2440301,3,0,18,18,36,6,15,36,0,48,15,3,3,195,183
2440302,3,0,6,6,6,3,0,9,3,15,6,0,3,57,54
2440400,3,3,6,0,9,6,3,3,0,9,3,3,0,48,42
2440500,3,0,18,9,12,12,9,12,3,18,15,0,3,102,87
2440600,3,0,12,15,21,15,9,21,6,18,15,6,6,144,129
2440700,3,3,27,27,39,27,21,24,6,42,21,6,6,249,231
2440801,3,0,9,9,12,9,9,15,0,21,12,3,0,99,90
2440802,3,0,3,3,3,3,0,3,0,6,6,0,0,30,27
2440803,3,0,18,18,30,9,6,18,0,30,9,9,0,138,132
2440900,3,0,9,6,9,6,3,12,0,15,6,0,0,66,60
2441000,3,0,15,9,12,6,12,12,3,15,3,3,0,90,87
2441101,3,0,3,3,9,3,3,3,0,9,6,0,0,36,30
2441103,3,0,0,0,0,0,0,0,0,0,0,0,0,24,21
2441104,3,0,0,0,0,0,0,0,0,0,0,0,0,15,15
2441200,3,0,6,3,9,3,3,9,0,9,3,0,0,51,48
2441300,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2441400,3,0,9,15,33,12,9,36,3,78,24,6,0,225,201
2441500,3,0,12,9,12,0,12,12,0,27,6,12,3,102,96
2441603,3,0,9,9,15,3,6,6,0,18,15,0,3,81,66
2441605,3,0,6,6,9,3,0,3,0,24,12,3,3,69,60
2441606,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2441607,3,0,0,0,0,0,0,0,0,6,0,0,0,18,18
2441608,3,0,3,6,6,0,3,6,0,6,3,0,0,36,36
2441609,3,0,6,0,6,6,3,6,3,9,6,3,0,45,39
2441610,3,0,3,6,6,3,6,6,0,12,3,0,6,48,45
2441701,3,0,0,0,0,0,0,0,0,9,0,0,0,27,21
2441702,3,0,6,3,6,6,3,3,0,12,3,3,0,48,45
2441703,3,0,6,9,9,3,3,6,0,27,9,0,3,78,66
2441801,3,0,12,9,21,6,3,9,0,45,15,3,0,123,105
2441802,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2441901,3,0,9,9,15,0,0,12,0,18,6,3,3,75,72
2441902,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2442001,3,0,9,15,12,9,9,12,3,39,24,6,3,132,108
2442002,3,0,6,3,3,6,0,6,0,9,3,6,3,48,45
2442101,3,0,12,3,18,9,6,12,0,15,0,3,3,84,84
2442102,3,0,12,15,21,9,9,18,0,36,12,6,3,141,132
2442103,3,0,3,3,6,0,3,6,0,6,3,3,0,33,30
2442200,3,0,3,6,9,9,6,9,3,15,9,3,3,75,66
2442300,3,0,12,9,15,15,9,18,3,15,6,3,0,99,96
2442401,3,0,6,9,12,6,9,9,0,27,9,0,0,87,78
2442403,3,0,6,12,15,6,3,6,0,18,6,6,0,78,72
2442404,3,0,12,6,6,3,3,12,0,15,6,0,3,69,63
2442405,3,0,3,3,15,3,6,9,0,21,6,0,0,63,60
2442500,3,0,12,30,27,9,12,24,3,39,15,6,6,183,165
2442600,3,0,9,6,12,9,6,9,3,18,3,3,0,69,66
2442700,3,0,6,12,27,6,12,12,3,27,9,6,3,120,111
2442800,3,0,6,6,9,3,3,6,3,12,15,0,3,63,51
2442900,3,0,9,21,21,12,15,12,0,33,18,6,0,150,132
2443000,3,0,12,18,24,15,12,12,0,33,6,9,3,144,135
2443100,3,0,12,15,30,12,15,15,0,45,21,3,3,174,156
2443200,3,0,21,18,27,15,6,30,3,42,12,6,3,186,177
2443300,3,0,3,9,6,3,0,9,0,9,3,3,0,48,45
2443400,3,0,6,3,9,3,9,9,3,30,18,0,0,87,69
2443500,3,0,0,0,0,0,0,0,0,6,0,0,0,21,18
2443600,3,0,0,0,0,0,0,0,0,6,0,0,0,18,12
2443700,3,0,6,18,12,3,12,18,0,51,18,3,3,147,129
2443800,3,0,6,6,18,9,3,21,0,36,0,3,0,108,105
2443900,3,0,6,21,21,6,3,15,3,30,15,6,0,123,108
2444001,3,0,0,0,0,0,0,0,0,15,0,0,0,24,21
2444002,3,0,12,9,12,6,6,3,0,21,12,6,0,87,75
2444100,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2444200,3,0,12,9,15,0,6,6,0,45,12,6,0,117,102
2444300,3,0,9,9,6,6,6,6,0,30,12,9,3,90,78
2444400,3,0,12,12,15,6,9,18,0,30,6,6,0,117,111
2444500,3,0,9,9,12,3,3,9,0,33,9,6,3,99,90
2444600,3,0,6,3,6,3,3,3,0,9,3,0,0,36,33
2444700,3,0,12,21,24,6,9,21,0,39,15,3,3,153,138
2444800,3,0,9,15,18,6,12,15,3,24,15,6,0,120,105
2444900,3,0,12,15,21,12,9,24,6,27,15,9,3,150,135
2445000,3,0,6,12,15,6,3,9,0,24,9,3,3,90,81
