meshblock_id,census_year_id,family_trust,not_elsewhere_included,not_owned,owned,total,total_stated
12200,1,0,3,3,9,12,9
12300,1,0,6,6,6,18,12
12400,1,0,6,12,24,42,33
12500,1,0,3,3,9,15,12
12601,1,0,3,0,9,12,9
12602,1,0,0,0,9,9,6
12701,1,0,3,6,15,24,21
12702,1,0,6,6,12,27,18
12800,1,0,0,0,0,0,0
12902,1,0,3,12,6,21,18
12903,1,0,6,15,24,45,39
12904,1,0,9,21,27,60,48
13000,1,0,9,24,27,60,51
13100,1,0,12,30,42,81,72
13203,1,0,9,30,21,63,51
13204,1,0,3,0,18,21,18
13205,1,0,0,12,24,36,33
13206,1,0,9,18,15,45,33
13207,1,0,3,12,12,24,24
13300,1,0,9,33,51,93,84
13400,1,0,6,21,39,63,60
13500,1,0,0,0,0,6,0
13600,1,0,3,3,12,18,15
13700,1,0,9,18,18,45,36
13800,1,0,0,0,0,0,0
13900,1,0,9,12,15,36,30
14000,1,0,0,0,0,0,0
14100,1,0,0,6,9,15,15
14200,1,0,0,0,0,3,0
14300,1,0,3,9,30,39,36
14400,1,0,9,24,51,81,75
14500,1,0,0,3,3,9,6
14600,1,0,0,0,0,0,0
14700,1,0,0,12,9,24,24
14800,1,0,3,3,3,6,3
14900,1,0,3,18,36,54,54
15000,1,0,0,3,21,27,24
15100,1,0,3,33,18,54,51
15200,1,0,3,9,12,27,21
15300,1,0,9,27,42,78,69
15401,1,0,0,0,0,6,6
15402,1,0,3,30,48,78,78
15500,1,0,3,48,39,90,84
15600,1,0,0,21,27,48,45
15700,1,0,3,33,18,51,51
15800,1,0,0,18,18,33,33
15900,1,0,3,6,15,24,24
16000,1,0,0,12,12,27,27
16100,1,0,0,0,0,3,0
16200,1,0,6,6,12,27,24
16300,1,0,6,18,27,48,42
16400,1,0,0,6,0,9,6
16500,1,0,0,0,0,0,0
16600,1,0,12,9,6,30,21
16700,1,0,6,15,9,27,24
16800,1,0,3,12,6,18,18
16901,1,0,0,0,0,0,0
16902,1,0,0,0,0,0,0
17001,1,0,0,0,0,0,0
17003,1,0,0,0,0,0,0
17005,1,0,0,0,0,0,0
17006,1,0,0,0,0,0,0
17100,1,0,0,0,0,0,0
17200,1,0,0,0,0,0,0
17301,1,0,3,6,6,15,12
17302,1,0,0,3,9,15,15
17402,1,0,6,6,24,42,33
17403,1,0,9,3,9,24,12
17404,1,0,0,0,0,3,0
17405,1,0,0,0,0,0,0
17406,1,0,0,0,0,3,0
17407,1,0,0,0,0,3,0
17408,1,0,0,0,9,9,9
17409,1,0,0,0,0,6,0
17500,1,0,0,6,33,42,39
17600,1,0,6,6,24,36,30
17700,1,0,6,12,18,33,30
17800,1,0,9,6,15,30,24
17900,1,0,0,0,0,6,0
18000,1,0,0,0,0,0,0
18100,1,0,9,9,18,33,27
18201,1,0,12,15,21,48,36
18202,1,0,0,0,0,0,0
18203,1,0,0,0,0,6,0
18300,1,0,0,3,12,15,15
18400,1,0,0,0,0,6,6
18500,1,0,0,3,12,15,15
18600,1,0,3,3,6,9,6
18700,1,0,0,9,15,24,24
18800,1,0,3,12,9,27,24
18900,1,0,0,27,60,90,90
19000,1,0,0,0,0,6,0
19100,1,0,0,3,12,18,18
19200,1,0,3,3,6,15,12
19300,1,0,3,6,12,18,18
19400,1,0,6,9,33,51,42
19500,1,0,0,0,0,0,0
19600,1,0,3,12,24,39,33
19700,1,0,6,6,24,36,30
19801,1,0,12,6,24,42,30
19802,1,0,0,0,0,3,0
19900,1,0,9,12,60,81,72
20000,1,0,12,6,33,51,39
20100,1,0,0,0,0,0,0
20200,1,0,9,15,45,69,60
20300,1,0,6,9,18,36,30
20401,1,0,12,15,33,63,48
20402,1,0,6,12,30,48,42
20500,1,0,0,0,0,0,0
20600,1,0,0,0,9,9,9
20700,1,0,9,6,12,24,15
20800,1,0,3,3,9,15,12
20900,1,0,0,3,9,12,12
21000,1,0,9,0,6,18,6
21100,1,0,0,0,0,6,0
21200,1,0,0,0,0,6,0
21300,1,0,6,0,6,15,9
21400,1,0,6,0,6,15,9
21500,1,0,0,0,0,3,0
21600,1,0,0,0,0,0,0
21700,1,0,0,0,0,0,0
21800,1,0,0,0,0,0,0
21900,1,0,3,0,12,18,15
22000,1,0,6,21,24,51,45
22100,1,0,3,6,6,15,15
22200,1,0,0,0,9,9,9
22300,1,0,3,3,15,24,21
22400,1,0,3,3,6,12,12
22500,1,0,6,9,30,51,42
22600,1,0,3,6,3,12,9
22700,1,0,6,3,6,15,9
22800,1,0,12,9,15,36,24
22900,1,0,0,0,6,9,9
23000,1,0,3,6,12,21,18
23100,1,0,12,9,27,45,36
23200,1,0,0,0,9,6,9
23300,1,0,3,3,27,33,30
23400,1,0,3,6,21,30,27
23500,1,0,0,0,0,0,0
23600,1,0,9,18,15,42,33
23700,1,0,6,15,18,36,30
23800,1,0,9,15,21,42,33
23900,1,0,3,3,12,18,15
24000,1,0,3,6,15,24,24
24100,1,0,0,0,6,9,6
24201,1,0,0,0,0,0,0
24202,1,0,0,0,0,0,0
24300,1,0,9,3,15,27,18
24400,1,0,18,0,30,51,33
24500,1,0,12,0,6,18,9
24600,1,0,6,6,12,24,18
24700,1,0,12,0,3,18,6
24800,1,0,0,0,0,0,0
24900,1,0,0,0,12,15,15
25000,1,0,0,3,9,12,9
25100,1,0,0,6,18,27,24
25200,1,0,0,12,21,33,30
25300,1,0,3,9,21,30,27
25400,1,0,3,3,12,21,18
25500,1,0,3,3,12,15,15
25600,1,0,0,6,12,21,21
25700,1,0,0,6,3,12,12
25800,1,0,3,12,18,33,30
25900,1,0,0,6,3,9,9
26001,1,0,3,9,6,18,15
26002,1,0,9,18,24,51,42
26100,1,0,0,0,0,0,0
26201,1,0,3,6,6,12,12
26202,1,0,12,30,42,81,72
26301,1,0,0,0,0,0,0
26302,1,0,6,3,6,18,12
26303,1,0,0,12,12,24,24
26304,1,0,0,0,0,0,0
26305,1,0,0,0,0,3,0
26400,1,0,3,3,12,18,15
26500,1,0,0,0,18,21,21
26600,1,0,3,3,12,15,9
26700,1,0,6,0,3,9,6
26800,1,0,3,9,12,24,21
26900,1,0,0,6,15,24,24
27000,1,0,0,0,0,3,0
27100,1,0,0,3,12,12,15
27200,1,0,0,0,0,0,0
27300,1,0,0,6,12,18,18
27400,1,0,3,6,15,21,18
27500,1,0,6,0,15,21,18
27600,1,0,0,3,9,12,12
27700,1,0,0,0,6,6,9
27800,1,0,3,6,6,15,15
27900,1,0,0,0,0,6,0
28000,1,0,3,3,3,12,6
28100,1,0,3,3,9,15,12
28201,1,0,0,0,0,0,0
28202,1,0,0,0,6,6,6
28300,1,0,6,6,18,33,27
28400,1,0,0,0,0,0,0
28500,1,0,3,3,6,15,9
28600,1,0,0,3,9,15,12
28700,1,0,3,6,9,15,12
28800,1,0,0,0,0,3,0
28900,1,0,0,6,15,18,21
29000,1,0,0,3,6,9,9
29101,1,0,0,0,0,0,0
29102,1,0,0,0,0,0,0
29200,1,0,0,0,0,6,6
29301,1,0,0,0,0,0,0
29302,1,0,3,0,6,9,9
29400,1,0,6,12,12,30,24
29500,1,0,0,6,15,21,21
29600,1,0,0,6,3,12,12
29700,1,0,3,6,9,18,15
29800,1,0,3,12,12,30,24
29900,1,0,0,0,0,3,0
30000,1,0,3,6,9,18,15
30100,1,0,0,3,3,9,9
30200,1,0,0,0,6,9,9
30300,1,0,3,3,3,9,9
30400,1,0,0,6,12,21,18
30500,1,0,0,3,9,15,15
30600,1,0,3,12,12,27,24
30700,1,0,3,3,18,27,24
30800,1,0,3,0,9,12,12
30900,1,0,3,3,9,12,12
31000,1,0,0,0,12,12,12
31100,1,0,3,6,3,9,9
31200,1,0,3,6,18,24,21
31300,1,0,0,0,0,3,0
31400,1,0,0,3,15,15,12
31500,1,0,3,15,36,51,51
31600,1,0,0,0,6,9,6
31700,1,0,0,3,9,12,12
31800,1,0,0,12,15,27,27
31900,1,0,0,9,9,21,18
32000,1,0,0,0,0,0,0
32100,1,0,6,3,15,24,18
32200,1,0,0,0,0,6,0
32300,1,0,3,12,30,45,42
32400,1,0,0,3,6,9,12
32501,1,0,3,3,18,24,21
32502,1,0,0,0,0,0,0
32600,1,0,0,12,24,36,36
32700,1,0,3,3,6,12,12
32800,1,0,0,0,0,6,0
32900,1,0,3,3,9,12,9
33000,1,0,0,9,9,21,18
33100,1,0,0,9,33,48,45
33200,1,0,3,0,9,12,9
33300,1,0,0,0,0,6,0
33400,1,0,3,3,12,18,18
33500,1,0,0,3,6,9,9
33600,1,0,3,6,39,45,45
33700,1,0,9,9,33,51,42
33800,1,0,3,9,30,42,39
33900,1,0,0,9,18,27,27
34000,1,0,0,6,6,12,12
34101,1,0,3,9,39,51,51
34102,1,0,0,3,6,6,6
34201,1,0,0,6,18,27,24
34202,1,0,0,3,30,33,33
34301,1,0,0,0,9,12,12
34302,1,0,0,0,0,0,0
34400,1,0,0,3,18,21,21
34500,1,0,0,0,12,12,12
34600,1,0,0,6,18,24,24
34700,1,0,3,9,30,42,42
34800,1,0,3,0,12,15,12
34900,1,0,0,9,9,21,21
35000,1,0,0,12,15,30,30
35100,1,0,0,0,6,6,6
35200,1,0,3,6,33,42,39
35300,1,0,3,3,6,12,12
35401,1,0,0,0,0,3,0
35402,1,0,3,0,12,12,12
35501,1,0,0,6,9,15,15
35502,1,0,0,0,0,0,0
35600,1,0,3,0,15,21,21
35700,1,0,0,15,27,42,39
35800,1,0,3,9,24,36,33
35900,1,0,3,6,27,39,36
36000,1,0,0,3,9,12,9
36100,1,0,0,3,12,15,15
